,name,lic_no,details_url,lic_type,lic_status,lic_exp_date,lic_sec_status,city,state,county,zipcode,depth,download_timeout,download_slot,download_latency,address,lic_issue_date,parcel_no
10,1 DAY PAINT & BODY CENTERS,99297,/details/1310/ARD/99297/71182a13ddc58910198ba05ad0a7ffb8,Automotive Repair Dealer,Cancelled,"December 31, 2013",,GARDENA,California,LOS ANGELES,90249,1,180.0,search.dca.ca.gov,0.3630738258361816,13500 CRENSHAW BLVD,,No APN MATCH
11,1 DAY PAINT & BODY CENTERS  (Previous Name),152792,/details/1310/ARD/152792/45678b6961c44b686ab6056d58ccb7e9,Automotive Repair Dealer,Cancelled,"April 30, 2014",,LONG BEACH,California,LOS ANGELES,90807,1,180.0,search.dca.ca.gov,0.31914854049682617,2035 E CARSON ST,,No APN MATCH
12,1 DAY PAINT & BODY CENTERS,88262,/details/1310/ARD/88262/a82f9cc76f9de9bb6131c3428b234f8b,Automotive Repair Dealer,Cancelled,"June 30, 2014",,GARDEN GROVE,California,ORANGE,92643,1,180.0,search.dca.ca.gov,0.30518245697021484,13612 HARBOR BLVD,,No APN MATCH
13,1 DAY PAINT & BODY OF CALIF INC,12785,/details/1310/ARD/12785/92f74c000523fec6bcb52bba0adbfd05,Automotive Repair Dealer,Cancelled,"March 31, 2014",,GARDENA,California,LOS ANGELES,90249,1,180.0,search.dca.ca.gov,0.3261270523071289,13900 S WESTERN AVE,,No APN MATCH
14,2K RACING INC,213488,/details/1310/ARD/213488/271fef14db1b34dc0367a306a8fc554e,Automotive Repair Dealer,Delinquent,"October 31, 2019",,RESEDA,California,LOS ANGELES,91335,1,180.0,search.dca.ca.gov,0.2712733745574951,7001 RESEDA BLVD,,No APN MATCH
15,1 DAY PAINT & BODY OF CALIF INC,12786,/details/1310/ARD/12786/3286938b01bb8bb8d98037052adf798a,Automotive Repair Dealer,Cancelled,"March 31, 2014",,TORRANCE,California,LOS ANGELES,90501,1,180.0,search.dca.ca.gov,0.3909564018249512,21801 WESTERN AVE,,No APN MATCH
16,1 DAY PAINT & BODY CNTRS INC #133,215805,/details/1310/ARD/215805/2d2f37bbda572fe38a61c056a9ee91fc,Automotive Repair Dealer,Cancelled,"April 30, 2014",,LANCASTER,California,LOS ANGELES,93534,1,180.0,search.dca.ca.gov,0.3690083026885986,809 WEST AVENUE K,,No APN MATCH
17,1 DAY PAINT & BODY OF CALIF INC,11215,/details/1310/ARD/11215/9d556df886509cc739718c665473b4fe,Automotive Repair Dealer,Cancelled,"March 31, 2014",,POMONA,California,LOS ANGELES,91768,1,180.0,search.dca.ca.gov,0.4667534828186035,793 W HOLT AVE,,No APN MATCH
18,1ST STOP CAR CARE & SMOG,283712,/details/1310/ARD/283712/654807d391e22ebcac77400d532088b9,Automotive Repair Dealer,Valid,"May 31, 2020",,CHULA VISTA,California,SAN DIEGO,91910,1,180.0,search.dca.ca.gov,0.27725839614868164,3008 N 2ND AVE,,No APN MATCH
19,2K RACING INC,294204,/details/1310/ARD/294204/df61d9d2ec9df3d0544f4d3f930a6014,Automotive Repair Dealer,Valid,"May 31, 2020",,RESEDA,California,LOS ANGELES,91335,1,180.0,search.dca.ca.gov,0.35106348991394043,7001 RESEDA BLVD,,No APN MATCH
20,1-DAY PAINT & BODY #136,269429,/details/1310/ARD/269429/c5152c34b534cdf42ca45fd6334619ad,Automotive Repair Dealer,Cancelled,"June 30, 2014",,TEMECULA,California,RIVERSIDE,92590,1,180.0,search.dca.ca.gov,0.22140979766845706,27561 COMMERCE CENTER DR,,No APN MATCH
21,322 MOTORSPORTS,293293,/details/1310/ARD/293293/452b8fc90b3133b512babf69db92e6a0,Automotive Repair Dealer,Valid,"January 31, 2021",,COVINA,California,LOS ANGELES,91723,1,180.0,search.dca.ca.gov,0.18949198722839355,322 E FRONT STREET,,No APN MATCH
22,1-DAY PAINT & BODY #134,266850,/details/1310/ARD/266850/2e625aee3bb5582ea1ddacad730e7339,Automotive Repair Dealer,Cancelled,"October 31, 2014",,RIVERSIDE,California,RIVERSIDE,92504,1,180.0,search.dca.ca.gov,0.30418753623962397,7400 ORANGEWOOD DR,,No APN MATCH
23,5 STARS COLLISION CENTER,275738,/details/1310/ARD/275738/28ef4399fcecb55fdffcf4f4ddb8b4fd,Automotive Repair Dealer,Cancelled,"March 31, 2016",,RESEDA,California,LOS ANGELES,91335,1,180.0,search.dca.ca.gov,0.3420863151550293,6625 RESEDA BLVD,,No APN MATCH
24,3 STAGE AUTO-BODY,248595,/details/1310/ARD/248595/30d6c8cc79b783aff2ab52018c3790b1,Automotive Repair Dealer,Cancelled,"December 31, 2016",,SANTA ANA,California,ORANGE,92701,1,180.0,search.dca.ca.gov,0.2204115390777588,514 E. 2ND STREET,,No APN MATCH
25,1 ST CLASS SMOG N AUTOMOTIVE,276438,/details/1310/ARD/276438/5e4cd55e609cb887c0a2df57766bd9b7,Automotive Repair Dealer,Cancelled,"April 30, 2017",,GARDEN GROVE,California,ORANGE,92841,1,180.0,search.dca.ca.gov,0.9235310554504396,12042 KNOTT ST # A,,No APN MATCH
26,3 STAGE AUTO COLLISION,284558,/details/1310/ARD/284558/f0b00f5302ba2e5bd43e3e40aa5e46e8,Automotive Repair Dealer,Cancelled,"August 31, 2019",,SANTA ANA,California,ORANGE,92701,1,180.0,search.dca.ca.gov,0.20843291282653809,514 E 2ND ST,,No APN MATCH
27,3 STAGE AUTO COLLISION,292579,/details/1310/ARD/292579/d693c1cd1290f855ed5f896bd1e69e79,Automotive Repair Dealer,Valid,"November 30, 2020",,SANTA ANA,California,ORANGE,92782,1,180.0,search.dca.ca.gov,0.28322672843933105,514 E 2ND STREET,,No APN MATCH
28,"ARMANDO'S AUTOBODY & PAINT, INC.",289646,/details/1310/ARD/289646/4b88b9b61ca5b7f05e30d4d8fb68f212,Automotive Repair Dealer,Valid,"February 28, 2021",,SANTA MARIA,California,SANTA BARBARA,93458,1,180.0,search.dca.ca.gov,0.1655569076538086,315 DAL PORTO LN STE C,,ERROR
29,ALL ACCESS,262077,/details/1310/ARD/262077/946096cefcce32c60619f04f9974e2c6,Automotive Repair Dealer,Cancelled,"February 29, 2016",,FRESNO,California,FRESNO,93726,1,180.0,search.dca.ca.gov,0.31714582443237305,1843 E  GETTYSBURG AVE,,No APN MATCH
30,60 MINUTE TUNE GRANADA HILLS,172792,/details/1310/ARD/172792/8edfa6c24719740cf78fd9e025d8cd29,Automotive Repair Dealer,Valid,"May 31, 2020",,GRANADA HILLS,California,LOS ANGELES,91344,1,180.0,search.dca.ca.gov,0.8148198127746582,11920 BALBOA BLVD,,No APN MATCH
31,805 TIRE WHEEL & AUTOMOTIVE,285164,/details/1310/ARD/285164/7a97077d4e81f4112d194aa218eff6fd,Automotive Repair Dealer,Delinquent,"October 31, 2017",,OXNARD,California,VENTURA,93033,1,180.0,search.dca.ca.gov,0.4687371253967285,1347 S. OXNARD BLVD,,No APN MATCH
32,ADELANTO AUTO REPAIR,283326,/details/1310/ARD/283326/ff2db359d122e6a6f11ca207008ab442,Automotive Repair Dealer,Delinquent,"April 30, 2019",,ADELANTO,California,SAN BERNARDINO,92301,1,180.0,search.dca.ca.gov,0.44381213188171387,11719 BARTLETT AVE,,No APN MATCH
33,1ST CLASS SMOG N AUTOMOTIVE,285736,/details/1310/ARD/285736/90d69a78bb397fcaa1803dd383ffccb1,Automotive Repair Dealer,Valid,"January 31, 2021",,GARDEN GROVE,California,ORANGE,92841,1,180.0,search.dca.ca.gov,1.0422158241271973,12042 KNOTT ST UNIT A,,No APN MATCH
34,8 A'S DISMANTLING,282681,/details/1310/ARD/282681/484b9dd460e0615ac45de6ae6cdf67e9,Automotive Repair Dealer,Delinquent,"February 28, 2018",,LINDSAY,California,TULARE,93247,1,180.0,search.dca.ca.gov,0.5425486564636229,1218 S MIRAGE AVE,,No APN MATCH
35,ARMANDOS TRANSMISSION,232956,/details/1310/ARD/232956/15c3208111756f83ead8525534616268,Automotive Repair Dealer,Valid,"April 30, 2020",,SAN BERNARDINO,California,SAN BERNARDINO,92401,1,180.0,search.dca.ca.gov,0.23337626457214355,116 S STODDARD AVE,,No APN MATCH
36,ASSAEL MINI OF MONROVIA  (Previous Name),250881,/details/1310/ARD/250881/cd124bdb16b0e0d9f0f8c314cbcd192c,Automotive Repair Dealer,Valid,"May 31, 2020",,MONROVIA,California,LOS ANGELES,91016,1,180.0,search.dca.ca.gov,0.2662873268127441,1451 S MOUNTAIN AVE,,No APN MATCH
37,ASHLEY BODY SHOP COLLISION,284477,/details/1310/ARD/284477/96dc85f04c04d5b3878d79a6d76f4287,Automotive Repair Dealer,Valid,"August 31, 2020",,ROYAL OAKS,California,MONTEREY,95076,1,180.0,search.dca.ca.gov,0.2852416038513184,46-B PORTER DRIVE,,No APN MATCH
38,AUTO FORCE REGENCY,295371,/details/1310/ARD/295371/aa0e8b67431a8fd7ef999fcb6530bb6b,Automotive Repair Dealer,Valid,"September 30, 2020",,HAYWARD,California,ALAMEDA,94544,1,180.0,search.dca.ca.gov,0.25830745697021484,29000 MISSION BLVD,,No APN MATCH
39,AUTO TUNE,111110,/details/1310/ARD/111110/097f8d84625a5530fed302d11e391cae,Automotive Repair Dealer,Delinquent,"July 31, 1989",,RIALTO,California,SAN BERNARDINO,92376,1,180.0,search.dca.ca.gov,0.2623023986816406,315 W FOOTHILL BLVD,,No APN MATCH
40,ARMANDOS RADIATOR & MUFFLERS SHOP,215438,/details/1310/ARD/215438/6e34f88ebd259a3c94cae3ff1b66ec09,Automotive Repair Dealer,Valid,"March 31, 2020",,RIVERSIDE,California,RIVERSIDE,92509,1,180.0,search.dca.ca.gov,0.4637539386749268,9712 JURUPA RD SPC B,,No APN MATCH
41,AUTOBAHN LOS GATOS,160320,/details/1310/ARD/160320/f2ce61acf34e2191634278a3fe2e0658,Automotive Repair Dealer,Valid,"May 31, 2020",,LOS GATOS,California,SANTA CLARA,95032,1,180.0,search.dca.ca.gov,0.17852425575256348,16203 LOS GATOS BLVD,,No APN MATCH
42,ATO TRANSMISSION,139440,/details/1310/ARD/139440/a9b9c5b64468ebb356c67ab2c389a356,Automotive Repair Dealer,Valid,"April 30, 2020",,RANCHO CORDOVA,California,SACRAMENTO,95742,1,180.0,search.dca.ca.gov,0.4368269443511963,3257 MONIER CIR #E,,No APN MATCH
43,AUTOTRON SERVICE CENTER INC,241965,/details/1310/ARD/241965/25ac9ec31fa99bafbcaba213cc7d677c,Automotive Repair Dealer,Valid,"October 31, 2020",,PLEASANTON,California,ALAMEDA,94566,1,180.0,search.dca.ca.gov,0.2682781219482422,3688 F WASHINGTON STREET,,No APN MATCH
44,BERNARDIS COLLISION CENTER,229041,/details/1310/ARD/229041/52e2e4c07f436b531c1bddb26c92ebb1,Automotive Repair Dealer,Valid,"July 31, 2020",,REDDING,California,SHASTA,96001,1,180.0,search.dca.ca.gov,0.3012263774871826,4760 CEDARS RD,,No APN MATCH
45,BERNARD DUQUE,242659,/details/1310/ARD/242659/53a1e9bbc213ed71aa867c062edef6ee,Automotive Repair Dealer,Valid,"November 30, 2020",,OCEANO,California,SAN LUIS OBISPO,93445,1,180.0,search.dca.ca.gov,0.317155122756958,1506 RAILROAD AVENUE #A,,No APN MATCH
46,BETO'S AUTO WRECKING,285227,/details/1310/ARD/285227/5957352e8396a00ff9558d519a0a34d9,Automotive Repair Dealer,Delinquent,"November 30, 2019",,SAN DIEGO,California,SAN DIEGO,92154,1,180.0,search.dca.ca.gov,0.2363748550415039,951 A HERITAGE RD,,No APN MATCH
47,BERGMAN'S AUTO,275377,/details/1310/ARD/275377/9d7d77c7f12540e1710ea9ebce5e50c4,Automotive Repair Dealer,Valid,"January 31, 2021",,TORRANCE,California,LOS ANGELES,90501,1,180.0,search.dca.ca.gov,0.3171629905700684,22619 NORMANDIE AVE,,No APN MATCH
48,BESA QUALITY AUTO CARE,173561,/details/1310/ARD/173561/207d02b2d84de22b075017a73bafa0fb,Automotive Repair Dealer,Valid,"July 31, 2020",,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,0.32114171981811523,2350 WEBSTER STREET,,No APN MATCH
49,ARMANDOS SMOG,196224,/details/1310/ARD/196224/52bf23fd1e9da1ee1462c56c2538c087,Automotive Repair Dealer,Valid,"September 30, 2020",,SELMA,California,FRESNO,93662,1,180.0,search.dca.ca.gov,1.0252606868743896,1801 WHITSON,,No APN MATCH
50,BETOS MUFFLER AUTO REPAIR,235282,/details/1310/ARD/235282/24e687414c6344515282ba4af3740ae9,Automotive Repair Dealer,Delinquent,"August 31, 2018",,LOS ANGELES,California,LOS ANGELES,90057,1,180.0,search.dca.ca.gov,0.4098935127258301,2811 W BEVERLY #C,,ERROR
51,BONFANTE COLLISION CENTER INC,259715,/details/1310/ARD/259715/bc48d5641828c5f425098e8a624a7729,Automotive Repair Dealer,Valid,"September 30, 2020",,GILROY,California,SANTA CLARA,95020,1,180.0,search.dca.ca.gov,0.2892260551452637,7560 RAILROAD ST,,No APN MATCH
52,BY THE BOOK 12 AUTO BODY,293810,/details/1310/ARD/293810/ad3553db05ae594a8223840a803e06dd,Automotive Repair Dealer,Valid,"March 31, 2020",,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,0.2583208084106445,4421 GILBERT ST #107,,No APN MATCH
53,BYMAR TIRE & BRAKE,258206,/details/1310/ARD/258206/c8581619c13ef8f01cb6381ee4e2db3a,Automotive Repair Dealer,Valid,"April 30, 2020",,MISSION VIEJO,California,ORANGE,92691,1,180.0,search.dca.ca.gov,0.314009428024292,25631 TALADRO CIR,,No APN MATCH
54,CANYON BATTERIES,233220,/details/1310/ARD/233220/4e18d03725efed2971539185591d0c71,Automotive Repair Dealer,Cancelled,"April 30, 2005",,LAKE ELSINORE,California,RIVERSIDE,92530,1,180.0,search.dca.ca.gov,0.3640289306640625,2088 E LAKESHORE DRIVE,,No APN MATCH
55,BIGGS SMOG CHECK,293070,/details/1310/ARD/293070/8e9b1fa011e63391b4ccc2c0a1cf9927,Automotive Repair Dealer,Delinquent,"January 31, 2020",,LOS ANGELES,California,LOS ANGELES,90011,1,180.0,search.dca.ca.gov,0.7200376987457275,1785 E VERNON AVE # A-1,,No APN MATCH
56,CALEXICO AUTO DISMANTLERS/CALEXICO TOWING SERVICE/CALEXICO AUTO G  (Previous Name),265338,/details/1310/ARD/265338/17358f52128dde591311ebe9655a1131,Automotive Repair Dealer,Valid,"June 30, 2020",,CALEXICO,California,IMPERIAL,92231,1,180.0,search.dca.ca.gov,0.4150137901306152,421 CESAR CHAVEZ BLVD,,No APN MATCH
57,CARNATION,289658,/details/1310/ARD/289658/42b8ebf39c054d4aca41f1f926192828,Automotive Repair Dealer,Delinquent,"February 28, 2019",,BAKERSFIELD,California,KERN,93305,1,180.0,search.dca.ca.gov,0.3929555416107178,611 BAKER STREET,,No APN MATCH
58,D & R ENVIRONMENTAL INC,286233,/details/1310/ARD/286233/b99bed7a2a5a9a5e09c5b06002ec17a6,Automotive Repair Dealer,Valid,"March 31, 2020",,AUBURN,California,PLACER,95603,1,180.0,search.dca.ca.gov,0.372006893157959,248 SUTHERLAND DRIVE,,ERROR
59,CORDIAL AUTO INC,263003,/details/1310/ARD/263003/1868874c8817c25142b4dc089bf788f5,Automotive Repair Dealer,Valid,"August 31, 2020",,SANTA CLARA,California,SANTA CLARA,95054,1,180.0,search.dca.ca.gov,0.4398849010467529,1451 LAURELWOOD RD,,No APN MATCH
60,BONNIE & C US AUTO,154014,/details/1310/ARD/154014/f04b53c1a5c7f6286ed12168e85e3ea2,Automotive Repair Dealer,Revoked,"June 30, 1999",,NORTH HOLLYWOOD,California,LOS ANGELES,91605,1,180.0,search.dca.ca.gov,0.8158178329467773,7649 LANKERSHIM BLVD,,No APN MATCH
61,DAVID & SONS TRUCK REPAIR INC,240208,/details/1310/ARD/240208/da6111ae6f22deffdd799183ea03bfff,Automotive Repair Dealer,Valid,"June 30, 2020",,BRAWLEY,California,IMPERIAL,92227,1,180.0,search.dca.ca.gov,0.2353696823120117,1597 MAIN ST,,No APN MATCH
62,D.I.C.E. MOTORSPORTS,284246,/details/1310/ARD/284246/77252cb91ebff3349615c437b7f02a31,Automotive Repair Dealer,Delinquent,"July 31, 2017",,SANTA CLARA,California,SANTA CLARA,95054,1,180.0,search.dca.ca.gov,0.3121662139892578,1415 LAURELWOOD ROAD,,No APN MATCH
63,D & I AUTOMOTIVE,159984,/details/1310/ARD/159984/cd12385060963c23937ef2ae8ff4dc8e,Automotive Repair Dealer,Valid,"April 30, 2020",,SAN BERNARDINO,California,SAN BERNARDINO,92405,1,180.0,search.dca.ca.gov,0.35704731941223145,3308 NORTH E ST,,No APN MATCH
64,DANIELS SPEED SHOP,245131,/details/1310/ARD/245131/2b6604750716fc6d52ee776ae392ff75,Automotive Repair Dealer,Valid,"May 31, 2020",,COSTA MESA,California,ORANGE,92627,1,180.0,search.dca.ca.gov,0.3410732746124268,1634 OHMS WAY UNIT A,,No APN MATCH
65,DINO MOTORS,285587,/details/1310/ARD/285587/a9e58061fc5faba8511ad8ff7edc8a02,Automotive Repair Dealer,Valid,"December 31, 2020",,SAN MATEO,California,SAN MATEO,94402,1,180.0,search.dca.ca.gov,0.2752656936645508,1321 S RAILROAD AVE,,No APN MATCH
66,DMD COLLISION CENTER INC.  (Previous Name),291302,/details/1310/ARD/291302/dc13f67ea81b03aba737ec43bac491dc,Automotive Repair Dealer,Valid,"June 30, 2020",,LYNWOOD,California,LOS ANGELES,90262,1,180.0,search.dca.ca.gov,0.26628661155700684,2905 BEECHWOOD AVE # B,,No APN MATCH
67,DOCTOR'S B AUTO REPAIR,263951,/details/1310/ARD/263951/8c3eea7e1c65ec90e45d085d81f67b0c,Automotive Repair Dealer,Cancelled,"January 31, 2019",,NEWPORT BEACH,California,ORANGE,92663,1,180.0,search.dca.ca.gov,0.2722733020782471,825 W 16TH ST N,,No APN MATCH
68,"DOMPORT AUTO BODY,INC  (Previous Name)",257130,/details/1310/ARD/257130/c7610885f425284e321f80091953f0c3,Automotive Repair Dealer,Valid,"December 31, 2020",,SAN FRANCISCO,California,SAN FRANCISCO,94102,1,180.0,search.dca.ca.gov,0.1904911994934082,362 FELL ST,,No APN MATCH
69,EAGLE SERVICE,221104,/details/1310/ARD/221104/3e7fa2d3052fd105c25801cded537b07,Automotive Repair Dealer,Cancelled,"April 30, 2005",,NORTH HOLLYWOOD,California,LOS ANGELES,91605,1,180.0,search.dca.ca.gov,0.16954755783081055,11720 VAN OWEN ST #3,,No APN MATCH
70,DAR QUALITY AUTO REPAIR,272783,/details/1310/ARD/272783/20e32f9aadc6417a13cdc4da69e8c233,Automotive Repair Dealer,Cancelled,"May 31, 2014",,HAYWARD,California,ALAMEDA,94541,1,180.0,search.dca.ca.gov,0.7839052677154541,22135 MISSION BLVD,,No APN MATCH
71,DUFFY ENTERPRISE,260497,/details/1310/ARD/260497/d57c3a019dcc78913cfd683b80ffe853,Automotive Repair Dealer,Cancelled,"January 31, 2018",,COSTA MESA,California,ORANGE,92626,1,180.0,search.dca.ca.gov,0.239351749420166,1340 LOGAN AVE,,No APN MATCH
72,DOMINO AUTO BODY,193874,/details/1310/ARD/193874/503cd63129f0acb63908028b01b44252,Automotive Repair Dealer,Valid,"April 30, 2020",,NORTHRIDGE,California,LOS ANGELES,91326,1,180.0,search.dca.ca.gov,0.2842388153076172,17813 COMMUNITY ST,,No APN MATCH
73,ED AUTO REPAIR,249505,/details/1310/ARD/249505/23ed344a507e9a3a6a106255072b6436,Automotive Repair Dealer,Valid,"February 28, 2021",,RESEDA,California,LOS ANGELES,91335,1,180.0,search.dca.ca.gov,0.14960694313049314,18422 VANOWEN ST #4,,No APN MATCH
74,EDDIES TIRES AND AUTO REPAIR,229770,/details/1310/ARD/229770/cd0e2e137bef668fab2ab5ab8aaff259,Automotive Repair Dealer,Cancelled,"September 30, 2016",,CHULA VISTA,California,SAN DIEGO,91911,1,180.0,search.dca.ca.gov,0.17752599716186526,2677 MAIN STREET,,No APN MATCH
75,3 W TRUCK & EQUIPMENT CO,231915,/details/1310/ARD/231915/5af42de969517aaddfe16eef31b91c94,Automotive Repair Dealer,Cancelled,"February 28, 2014",,ESCONDIDO,California,SAN DIEGO,92029,1,180.0,search.dca.ca.gov,3.158556699752808,1277 SIMPSON WAY,,No APN MATCH
76,DOCTOR SMOG,251263,/details/1310/ARD/251263/28adaa4c683e5da9586fe2b46c7f353f,Automotive Repair Dealer,Valid,"July 31, 2020",,RESEDA,California,LOS ANGELES,91335,1,180.0,search.dca.ca.gov,0.7340385913848877,8247 RESEDA BLVD,,No APN MATCH
77,DMD SMOG,279658,/details/1310/ARD/279658/682eb44969d9572258dc4ec75c915dfa,Automotive Repair Dealer,Cancelled,"March 31, 2016",,SYLMAR,California,LOS ANGELES,91342,1,180.0,search.dca.ca.gov,0.7499940395355225,12691 SAN FERNANDO RD # C,,No APN MATCH
78,EXCLUSIVE WHEELS AND TIRES,274291,/details/1310/ARD/274291/cc75392f0a06fec09d1bd813b630f8dc,Automotive Repair Dealer,Cancelled,"September 30, 2015",,HAYWARD,California,ALAMEDA,94541,1,180.0,search.dca.ca.gov,0.1934795379638672,941 W A ST,,No APN MATCH
79,EXCLUSIVE WHEELS AND TIRES,282758,/details/1310/ARD/282758/aa5222e7f462511f93f1e3ad473ea684,Automotive Repair Dealer,Valid,"February 28, 2021",,HAYWARD,California,ALAMEDA,94541,1,180.0,search.dca.ca.gov,0.19249463081359866,941 A STREET,,No APN MATCH
80,EXPERIENCE AUTO BODY,199158,/details/1310/ARD/199158/5a783a47f55c1d527bff4631a51cdac5,Automotive Repair Dealer,Valid,"April 30, 2020",,OAKLAND,California,ALAMEDA,94606,1,180.0,search.dca.ca.gov,0.26030445098876953,2230 EAST 14TH ST,,No APN MATCH
81,GORDYS GARAGE,120544,/details/1310/ARD/120544/e2467efff7c0f575c8a227a0ff217567,Automotive Repair Dealer,Valid,"October 31, 2020",,ALTADENA,California,LOS ANGELES,91001,1,180.0,search.dca.ca.gov,0.21143627166748047,843 W WOODBURY RD,,No APN MATCH
82,EXCLUSIVELY VOLVO,145999,/details/1310/ARD/145999/94cf7271ee302bed53227b78893a3b66,Automotive Repair Dealer,Cancelled,"March 31, 2015",,SAN FRANCISCO,California,SAN FRANCISCO,94103,1,180.0,search.dca.ca.gov,0.2802586555480957,235 VALENCIA ST,,No APN MATCH
83,ED'S SMOG CHECK,265533,/details/1310/ARD/265533/01315c49197e2e600c7097708807a493,Automotive Repair Dealer,Delinquent,"June 30, 2018",,LOS ANGELES,California,LOS ANGELES,90042,1,180.0,search.dca.ca.gov,0.7051141262054443,6917 FIGUEROA ST,,No APN MATCH
84,ED'S SMOG CHECK,283968,/details/1310/ARD/283968/f4cb8532163b63f091aff571ac019f41,Automotive Repair Dealer,Valid,"June 30, 2020",,REEDLEY,California,FRESNO,93654,1,180.0,search.dca.ca.gov,0.7400257587432861,1402 11TH ST,,No APN MATCH
85,GOLD REVOLUTION VEHICLE DYNAMICS,278087,/details/1310/ARD/278087/8e737a34656f8af01cf09fc2bf7c8d80,Automotive Repair Dealer,Cancelled,"October 31, 2016",,APPLE VALLEY,California,SAN BERNARDINO,92308,1,180.0,search.dca.ca.gov,0.18151521682739255,13548 NOMWAKET RD STE C,,No APN MATCH
86,GOLDEN DOVE MOBILE AUTO REPAIR,266138,/details/1310/ARD/266138/29c1347062d670bf2ee05e58a421f81c,Automotive Repair Dealer,Cancelled,"August 31, 2015",,SACRAMENTO,California,SACRAMENTO,95829,1,180.0,search.dca.ca.gov,0.27626490592956543,9558 BURROUGHS CT,,No APN MATCH
87,EXCLUSIVE SMOG CHECK,284042,/details/1310/ARD/284042/5c7ff3ff99b7fd7e38c0a102ca1ed84d,Automotive Repair Dealer,Revoked,"June 30, 2019",,LOS ANGELES,California,LOS ANGELES,90003,1,180.0,search.dca.ca.gov,0.7539880275726318,6201 S BROADWAY,,No APN MATCH
88,GOODMONS AUTO REPAIR,69194,/details/1310/ARD/69194/fff4c45808298a395e3b202c63f8b399,Automotive Repair Dealer,,"April 30, 2014",,FRESNO,California,FRESNO,93710,1,180.0,search.dca.ca.gov,0.721104621887207,6638 N BLACKSTONE AVE,,No APN MATCH
