name,lic_no,details_url,lic_type,lic_status,lic_exp_date,lic_sec_status,city,state,county,zipcode,depth,download_timeout,download_slot,download_latency,address,lic_issue_date
45 SMOG TEST ONLY,277650,/details/1310/ARD/277650/5ec29ebacdb4eff5db1f9b02f68808d3,Automotive Repair Dealer,Cancelled,"August 31, 2015",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,1.4927587509155273,4502 E 12TH ST,
35TH AVENUE UNION 76,214708,/details/1310/ARD/214708/61e6a215a4643db85d7d396828c1b9be,Automotive Repair Dealer,Cancelled,"January 31, 2016",N/A,OAKLAND,California,ALAMEDA,94619,1,180.0,search.dca.ca.gov,0.2617020606994629,3420 35TH AVENUE,
880 AUTO BODY SHOP INC,251665,/details/1310/ARD/251665/985383ad41614a53b3c5be5653c99443,Automotive Repair Dealer,Valid,"August 31, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.16699504852294922,4401 EAST 12TH ST,
4 LESS SMOG CHECK,270683,/details/1310/ARD/270683/46eaaa6adfba09cf196d7c236e01bb77,Automotive Repair Dealer,Cancelled,"October 31, 2015",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,0.6209688186645508,2857 BROADWAY,
4 LESS SMOG CHECK,264339,/details/1310/ARD/264339/2637e9f19e209749e32cfcd9588166ff,Automotive Repair Dealer,Cancelled,"March 31, 2013",N/A,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,1.3918719291687012,2857 BROADWAY,
4 LESS SMOG CHECK,270683,/details/1310/TC/270683/015c136feb59af624809e4e167f46082,Smog Station - Test Only,Cancelled,"October 31, 2015",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,1.5290107727050781,2857 BROADWAY,
4 LESS SMOG CHECK,281662,/details/1310/ARD/281662/76a8f5babbd19796c99fbad081d3cfed,Automotive Repair Dealer,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,1.9963440895080566,2857 BROADWAY,
76 OAKLAND SMOG,293859,/details/1310/ARD/293859/246572927bf65b78c3dd32bca5c4261f,Automotive Repair Dealer,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94610,1,180.0,search.dca.ca.gov,1.578300952911377,3220 LAKESHORE AVE,
76 OAKLAND SMOG,286459,/details/1310/TC/286459/f90ec6258299177ca25fdfa6191284fb,Smog Station - Test Only,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94619,1,180.0,search.dca.ca.gov,1.323173999786377,4276 MACARTHUR BLVD,
76 OAKLAND SMOG,286459,/details/1310/ARD/286459/7079a9883c7e3a4ce8a0493e2f619ce3,Automotive Repair Dealer,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94619,1,180.0,search.dca.ca.gov,1.4112451076507568,4276 MACARTHUR BLVD,
76 OAKLAND SMOG,270797,/details/1310/ARD/270797/7835bc33c035d241db85523ada73a84f,Automotive Repair Dealer,Cancelled,"November 30, 2019",N/A,OAKLAND,California,ALAMEDA,94619,1,180.0,search.dca.ca.gov,1.7514681816101074,4276 MACARTHUR BLVD,
7 DAY TIRE AND AUTO SHOP,269954,/details/1310/ARD/269954/4cb2a9505f29b18c0c9a99ca17f59081,Automotive Repair Dealer,Valid,"August 31, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.24599671363830566,8332 INTERNATIONAL BLVD SUITE# A,
510 AUTO TECH,277051,/details/1310/ARD/277051/761595af6895fff3484653043f918c86,Automotive Repair Dealer,Valid,"June 30, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.20138239860534668,8670 INTERNATIONAL BLVD,
76 OAKLAND SMOG,293859,/details/1310/TC/293859/c4582ad2617cea7790ab78afd851a484,Smog Station - Test Only,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94610,1,180.0,search.dca.ca.gov,0.6313700675964355,3220 LAKESHORE AVE,
A & P SERVICE CENTER,293273,/details/1310/LS/293273/18624896c172a3b0a49f96aeda0996e9,Lamp Station,Valid,"January 31, 2021",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,1.6649131774902344,398 W MACARTHUR BLVD,
A & P SERVICE CENTER,293273,/details/1310/BS/293273/98d8a8c736a61296ec7fb3edf928c5a6,Brake Station,Valid,"January 31, 2021",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,1.9064788818359375,398 W MACARTHUR BLVD,
J'S AUTO SERVICE,264102,/details/1310/ARD/264102/3186e8b2b088b80e1b4b24b7c919bc5c,Automotive Repair Dealer,Valid,"February 28, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.24992775917053223,1202 44TH AVE,
FIRST QUALITY AUTO REPAIR & BODY,165589,/details/1310/LS/165589/d87bc8b5d91419a9ac4db58013d3d6ac,Lamp Station,Revoked,"March 31, 2017",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,1.6113543510437012,6528 INTERNATIONAL BLVD,
12 SMOG TEST ONLY,280456,/details/1310/TC/280456/2bb0cc17ae163fca1be7c2bcb4c1a4b0,Smog Station - Test Only,Valid,"June 30, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,6.867040395736694,4502 E 12TH ST,
STREHLES BODY SHOP,228300,/details/1310/ARD/228300/f0c02f663ce59f18d6c48986e4279bdc,Automotive Repair Dealer,Valid,"June 30, 2021",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,0.18462204933166504,494 36TH ST,
QUALITY TECH AUTOMOTIVE,143446,/details/1310/ARD/143446/ebc3328d8ee455580ec9e06f29d4be71,Automotive Repair Dealer,Cancelled,"November 30, 2019",N/A,OAKLAND,California,ALAMEDA,94606,1,180.0,search.dca.ca.gov,0.6851980686187744,1235 16TH AVE,
STERLING AUTOBODY,260505,/details/1310/ARD/260505/a5e0860cae6ff4fbfc344403069664c9,Automotive Repair Dealer,Cancelled,"December 31, 2014",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.13646388053894043,7801 OAKPORT ST,
4 LESS SMOG CHECK,264339,/details/1310/TC/264339/a137c174bb7a942c06081168035ebcac,Smog Station - Test Only,Cancelled,"March 31, 2013",N/A,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,6.015880346298218,2857 BROADWAY,
STEVES AUTO,203335,/details/1310/ARD/203335/d91e207dbd31558766b41a43fbb9450a,Automotive Repair Dealer,Valid,"January 31, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.6730098724365234,2400 E 12TH ST,
OAKLAND ACURA,126036,/details/1310/RC/126036/6a2596c8e5a2c91345a8dfcb07926064,Smog Station - Test & Repair,Valid,"June 30, 2021",N/A,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,1.2273385524749756,6701 OAKPORT ST,
STEVES AUTO,203335,/details/1310/RC/203335/727e60cdd10de5a30ef5b9702ce3bf23,Smog Station - Test & Repair,Revoked,"January 31, 2001",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,1.271683692932129,2400 E 12TH ST,
STARLITE AUTO GLASS,286349,/details/1310/ARD/286349/7d23a0518dd7e139d6d3137c0d40bb5d,Automotive Repair Dealer,Delinquent,"March 31, 2019",N/A,OAKLAND,California,ALAMEDA,94606,1,180.0,search.dca.ca.gov,0.1775650978088379,1710 E 19TH ST,
4 LESS SMOG CHECK,281662,/details/1310/TC/281662/4191bc6db15e282bdc3bd339aca37068,Smog Station - Test Only,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,6.765614748001099,2857 BROADWAY,
76 OAKLAND SMOG,270797,/details/1310/TC/270797/cbe0f2d9ea91cd8d826b7dc50a7eff43,Smog Station - Test Only,Cancelled,"November 30, 2019",N/A,OAKLAND,California,ALAMEDA,94619,1,180.0,search.dca.ca.gov,5.139248609542847,4276 MACARTHUR BLVD,
STAUDER AUTOMOTIVE SERVICE,177607,/details/1310/LS/177607/f10832d688cfb3f92b566894af7f546e,Lamp Station,Cancelled,"April 16, 2021",N/A,OAKLAND,California,ALAMEDA,94618,1,180.0,search.dca.ca.gov,1.3199195861816406,5930 COLLEGE AVE,
STAR TEST ONLY SMOG CHECK,269485,/details/1310/TC/269485/340f437dc54882e569d4a14b365c0382,Smog Station - Test Only,Cancelled,"June 30, 2014",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.6145668029785156,3315 SAN PABLO AVE,
STAUDER AUTOMOTIVE SERVICE,177607,/details/1310/BS/177607/911c7c5ee40c3c88af717f7929697f78,Brake Station,Cancelled,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94618,1,180.0,search.dca.ca.gov,1.5473840236663818,5930 COLLEGE AVE,
STAUDER AUTOMOTIVE SERVICE,177607,/details/1310/ARD/177607/bd621fdbc97824212a0410a73a9f2fa5,Automotive Repair Dealer,Cancelled,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94618,1,180.0,search.dca.ca.gov,1.4188227653503418,5930 COLLEGE AVE,
STAR SMOG CHECK STATION,274268,/details/1310/ARD/274268/69d0c64727993fe899073f70475cedc8,Automotive Repair Dealer,Delinquent,"September 30, 2018",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,0.6565821170806885,5443 SHATTUCK AVE,
ST AUTO REPAIR,256350,/details/1310/ARD/256350/1b1c1765bace46cdd8d5b0d8d83c5d92,Automotive Repair Dealer,Cancelled,"September 30, 2014",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.23344635963439941,8670 EAST 14TH ST,
SPEED OIL CHANGE CENTER #3,277440,/details/1310/ARD/277440/eceb4871daa6cc32698f33dba4043c15,Automotive Repair Dealer,Valid,"August 31, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.20325040817260742,2 HEGENBERGER RD,
SPECTACULAR AUTO WORKS,286466,/details/1310/ARD/286466/1811b5857be4ce3540d800aa548277c7,Automotive Repair Dealer,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94606,1,180.0,search.dca.ca.gov,0.15337777137756348,1101 7TH AVE,
SPEED OIL CHANGE CENTER #2,277439,/details/1310/ARD/277439/b743a8f963b8a6710cf36a63d79484f1,Automotive Repair Dealer,Valid,"August 31, 2021",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,0.20594048500061035,5225 SHATTUCK AVE,
SMOOTH AUTO BODY,209592,/details/1310/ARD/209592/b7eccb8932b6fef7890357d57ada52b6,Automotive Repair Dealer,Valid,"March 31, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.33493947982788086,1228 41ST AVE,
45 SMOG TEST ONLY,277650,/details/1310/TC/277650/82d138d3091a3316281c707a67b8ad48,Smog Station - Test Only,Cancelled,"August 31, 2015",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,5.325265645980835,4502 E 12TH ST,
STAR TEST ONLY SMOG CHECK,269485,/details/1310/ARD/269485/a056fae579dbb1cdec71e727e0e9eb18,Automotive Repair Dealer,Cancelled,"June 30, 2014",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,1.8581316471099854,3315 SAN PABLO AVE,
SMOGSTERS  (Previous Name),253914,/details/1310/ARD/253914/d956d84289b01a10f32f86367484400b,Automotive Repair Dealer,Cancelled,"January 31, 2012",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.678006649017334,4251 INTERNATIONAL BLVD,
STAUDER AUTOMOTIVE SERVICE,177607,/details/1310/RC/177607/498551201b75181e449d437189629e79,Smog Station - Test & Repair,Cancelled,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94618,1,180.0,search.dca.ca.gov,2.893540382385254,5930 COLLEGE AVE,
SIN-MEX AUTO BODY SHOP,258028,/details/1310/ARD/258028/071c2a876e07cd8109e05e8ebce3b8a9,Automotive Repair Dealer,Valid,"April 30, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.20873022079467773,4028 INTERNATIONAL BLVD,
ST. MARY CEMETERY & FUNERAL CENTER,1955,/details/4800/FD/1955/8d25b7eb7cc6f1bd66e6c1384bffa627,Funeral Establishment,CLEAR,"December 31, 2020",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,1.5583405494689941,4529 HOWE ST,
STAR SMOG CHECK STATION,274268,/details/1310/TC/274268/b6585e467649f720ba8773ac864bf8d1,Smog Station - Test Only,Delinquent,"September 30, 2018",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,1.6580162048339844,5443 SHATTUCK AVE,
SILVER STAR MOTORS,216993,/details/1310/ARD/216993/02fc9c9c3528422d1b6ee384e6b47767,Automotive Repair Dealer,Delinquent,"June 30, 2018",N/A,OAKLAND,California,ALAMEDA,94607,1,180.0,search.dca.ca.gov,0.2859511375427246,1727 17TH ST,
SIDS COLLISION & GLASS REPAIR,247375,/details/1310/ARD/247375/17f997877ce3c04fb50fa38d0cdac0fa,Automotive Repair Dealer,Valid,"September 30, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.2196671962738037,6017 INTERNATIONAL BLVD,
SHORTY KUSTOMS & PERFORMANCE,289449,/details/1310/ARD/289449/2bd9dcc785628d9ec785b58c731b0088,Automotive Repair Dealer,Valid,"January 31, 2021",N/A,OAKLAND,California,ALAMEDA,94605,1,180.0,search.dca.ca.gov,0.2732548713684082,6672 BANCROFT AVE,
SHIGS AUTO SERVICE,187996,/details/1310/ARD/187996/615ca23c0d9fa6ffa60806a45f69f47c,Automotive Repair Dealer,Delinquent,"March 31, 2020",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.2588005065917969,1047 39TH ST,
SEVEN STAR TRUCK REPAIR & SERVICE,268754,/details/1310/ARD/268754/c1772aee94ad6413ea700906f2d0920e,Automotive Repair Dealer,Cancelled,"April 30, 2015",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.22966408729553223,722 JULIE ANN WAY,
SEVEN STAR DIESEL REPAIR,280538,/details/1310/ARD/280538/37ef7be504e2e74635093c2d60e4e2ed,Automotive Repair Dealer,Delinquent,"June 30, 2020",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.24639129638671875,722 JULIE ANN WAY,
SEVEN STAR DIESEL REPAIR,284222,/details/1310/ARD/284222/c1ffcd33cabcd46e53fd593021676d62,Automotive Repair Dealer,Cancelled,"July 31, 2017",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.19931697845458984,722 JULIE ANN WAY,
SEWA AUTO REPAIR & TOWING,217703,/details/1310/ARD/217703/52755c56b1df1460070bd39c23b9d617,Automotive Repair Dealer,Cancelled,"August 31, 2014",N/A,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,0.30706071853637695,2565 WEST STREET,
SERVICE KING COLLISION REPAIR CENTER,284103,/details/1310/ARD/284103/b9b0f23e4a92bb3f2cb66a7c9e2b1232,Automotive Repair Dealer,Valid,"June 30, 2021",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.208587646484375,7801 OAKPORT STREET,
SERVICE KING PAINT & BODY LLC,278258,/details/1310/ARD/278258/6cee7be7087e45c73ae3306fd960a419,Automotive Repair Dealer,Cancelled,"October 31, 2016",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.25775837898254395,7801 OAKPORT STREET,
SEVEN ELEVEN BODY SHOP,69602,/details/1310/ARD/69602/00688c85fcd4e5c28c2d0877f6e13106,Automotive Repair Dealer,Valid,"May 31, 2021",N/A,OAKLAND,California,ALAMEDA,94606,1,180.0,search.dca.ca.gov,0.3939220905303955,645 E 11TH ST,
SD AUTO CARE,280117,/details/1310/ARD/280117/fa8170c34f99ad76080fe8163e1a1126,Automotive Repair Dealer,Cancelled,"May 31, 2016",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.2540702819824219,2550 HIGH STREET,
SMART CREMATION,2016,/details/4800/FD/2016/932ec89ab585c83888e5fbe58fdab946,Funeral Establishment,CANCELLED,"May 31, 2015",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,1.6576504707336426,4401 HOWE STREET SUITE B,
SAN PABLO SMOG TEST ONLY CENTER,270102,/details/1310/ARD/270102/5ba973aa064df40e1e3eed12fbe8bc4f,Automotive Repair Dealer,Cancelled,"August 31, 2013",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.6347417831420898,6305 SAN PABLO AVE,
SAN PABLO SMOG TEST ONLY CENTER,270102,/details/1310/TC/270102/b32e6852bbd45d861506b909b60931e5,Smog Station - Test Only,Cancelled,"August 31, 2013",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.7076306343078613,6305 SAN PABLO AVE,
SAN PABLO SMOG TEST ONLY CENTER,254540,/details/1310/ARD/254540/09b861875267e68f9380e13e636d8528,Automotive Repair Dealer,Revoked,"March 31, 2013",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.8849117755889893,6305 SAN PABLO AVE,
SAN PABLO AVENUE SHELL,99678,/details/1310/ARD/99678/a445e7708b1d6a2805f34a193bfd1e05,Automotive Repair Dealer,Cancelled,"January 31, 1998",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.2205977439880371,3420 SAN PABLO AVE,
SAN PABLO AUTO BODY & PAINT,295826,/details/1310/ARD/295826/3a610fa4825d8e14afc35506e6632b20,Automotive Repair Dealer,Valid,"November 30, 2020",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.3348095417022705,2926 SAN PABLO AVE,
SAN PABLO AUTO BODY & PAINT,212694,/details/1310/ARD/212694/4abd3cc2558cfe2a1fb5350ffa811973,Automotive Repair Dealer,Valid,"September 30, 2020",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.18747448921203613,2926 SAN PABLO AVENUE,
SAN PABLO SMOG TEST ONLY CENTER,270621,/details/1310/TC/270621/4c14d1474cbf55faff2a9657099663fd,Smog Station - Test Only,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,1.4415037631988525,6305 SAN PABLO AVE,
SAM'S SMOG TEST,263476,/details/1310/TC/263476/a85a9864b7756129a68fe720126193aa,Smog Station - Test Only,Cancelled,"October 31, 2013",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.21635746955871582,7744 INTERNATIONAL BLVD.,
SAN PABLO SMOG TEST ONLY CENTER,270621,/details/1310/ARD/270621/42a18d44b4d8d0d38fe6d07525b35214,Automotive Repair Dealer,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.6369311809539795,6305 SAN PABLO AVE,
SAM SIPKINS,165499,/details/1310/ARD/165499/e4eab1656bdb8683a079decbb63d543e,Automotive Repair Dealer,Valid,"March 31, 2021",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.21281743049621582,3427 MAGNOLIA ST,
SALLES PAINT & BODY SHOP,78902,/details/1310/ARD/78902/bee54c9a067fb475e5ed2e7f94fffb62,Automotive Repair Dealer,Cancelled,"May 31, 2016",N/A,OAKLAND,California,ALAMEDA,94606,1,180.0,search.dca.ca.gov,0.19592690467834473,1049 9TH AVE,
SAM'S SMOG TEST ONLY  (Previous Name),263476,/details/1310/ARD/263476/d4f4a8690874718edc785d57f159089a,Automotive Repair Dealer,Revoked,"October 31, 2019",N/A,OAKLAND,California,ALAMEDA,94621,1,180.0,search.dca.ca.gov,0.633068323135376,7744 INTERNATIONAL BLVD.,
SAFELITE AUTO GLASS #4818,294801,/details/1310/ARD/294801/b927f7cb76854e7ff589eaf69f99f8f9,Automotive Repair Dealer,Valid,"July 31, 2021",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,0.20026779174804688,4238 BROADWAY,
"SAINTS CHRISTIAN FUNERAL CHAPEL, INC.",1144,/details/4800/FD/1144/f26f5bc2a7038ba3ef262cc33e127820,Funeral Establishment,CANCELLED,"January 31, 1992",N/A,OAKLAND,California,ALAMEDA,94608,1,180.0,search.dca.ca.gov,0.2859077453613281,936 WEST MACARTHUR BOULEVARD,
S & K AUTO SERVICE,261309,/details/1310/ARD/261309/2ae2c94bcbdab2a37d38ddec24929cad,Automotive Repair Dealer,Cancelled,"March 31, 2017",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.2513844966888428,2701 FOOTHILL BLVD,
SMOGSTER,253914,/details/1310/TC/253914/5a5a3fa9879acfdbd7ac6d9d431e170e,Smog Station - Test Only,Suspended,"January 31, 2012",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,3.0563952922821045,4251 INTERNATIONAL BLVD,
SAFE KO AUTO GLASS  (Previous Name),278485,/details/1310/ARD/278485/ac690e3318835f7bbdb7cd71781bc67e,Automotive Repair Dealer,Valid,"November 30, 2020",N/A,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,0.20371317863464355,693 25TH STREET,
RUBENS BODY SHOP,85828,/details/1310/ARD/85828/6e153fe62673e3a211e11cbc9f13e4fa,Automotive Repair Dealer,Revoked,"March 31, 1997",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.17712855339050293,828 34TH AVE,
"ROYAL MEMORIES FUNERAL AND CREMATION SERVICES, INC.",2077,/details/4800/FD/2077/93dc5b3f93d473bd1ae00e08eea6ceed,Funeral Establishment,REVOKED,"January 31, 2019",N/A,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,0.27498316764831543,1300 CLAY STREET STE 600,
ROGERS AUTOWORKS,260148,/details/1310/ARD/260148/a0653e794ff57363a0607cb0d3630617,Automotive Repair Dealer,Delinquent,"October 31, 2017",N/A,OAKLAND,California,ALAMEDA,94611,1,180.0,search.dca.ca.gov,0.20672988891601562,3022 BROADWAY,
ROLO TECH,205427,/details/1310/ARD/205427/c445a450bd75b23442fa424ebbccd684,Automotive Repair Dealer,Valid,"June 30, 2021",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.2612111568450928,3711 SAN LEANDRO ST,
ROUSE TIRE SERVICE INC,152475,/details/1310/ARD/152475/841d637e0bccf8d0719b31fe903f4cc9,Automotive Repair Dealer,Delinquent,"March 31, 2019",N/A,OAKLAND,California,ALAMEDA,94612,1,180.0,search.dca.ca.gov,0.3117518424987793,2340 HARRISON ST,
ROCKRIDGE TWO WHEELS,292526,/details/1310/ARD/292526/3c607ee2828821ee793c28be38f3c624,Automotive Repair Dealer,Valid,"October 31, 2020",N/A,OAKLAND,California,ALAMEDA,94609,1,180.0,search.dca.ca.gov,0.19055700302124023,6432 SHATTUCK AVE,
ROBINSON BROS-HALLCOCK-MISSION CH,447,/details/4800/FD/447/5c7c1565af4978cc627cb1448c4ceb65,Funeral Establishment,CANCELLED,"January 31, 1978",N/A,OAKLAND,California,ALAMEDA,94601,1,180.0,search.dca.ca.gov,0.22170424461364746,1901 FRUITVALE AVE,
ROBINSON AUTOMOTIVE SERVICE CENTER,233770,/details/1310/ARD/233770/ea5a27ae3628875ad49c92e1d9763610,Automotive Repair Dealer,Cancelled,"May 31, 2017",N/A,OAKLAND,California,ALAMEDA,94603,1,180.0,search.dca.ca.gov,0.21419858932495117,10948 SAN LEANDRO ST,
