APN,APN_SORT,YearBuilt,SitusStreetNumber,SitusStreetName,SitusUnit,SitusCity,SitusZip,SitusAddress,MailingAddress,line_1,line_2,city,state,postal
19-93-22,019 009302200,1997,1046,SAN FRANCISCO CT,,OAKLAND,94601,1046 SAN FRANCISCO CT OAKLAND 94601,1046 SAN FRANCISCO ST OAKLAND CA 94601,1046 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-25,019 009302500,1997,1076,SAN FRANCISCO CT,,OAKLAND,94601,1076 SAN FRANCISCO CT OAKLAND 94601,1076 SAN FRANCISCO CT OAKLAND CA 94601,1076 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-40,019 009304000,1997,1024,SANTA MARIA CT,,OAKLAND,94601,1024 SANTA MARIA CT OAKLAND 94601,1024 SANTA MARIA CT OAKLAND CA 94601,1024 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-60,019 009306000,1997,1022,SANTA INES CT,,OAKLAND,94601,1022 SANTA INES CT OAKLAND 94601,1022 SANTA INES CT OAKLAND CA 94601,1022 SANTA INES CT,,OAKLAND,CA,94601
19-93-28,019 009302800,1997,1077,SAN FRANCISCO CT,,OAKLAND,94601,1077 SAN FRANCISCO CT OAKLAND 94601,1077 SAN FRANCISCO CT OAKLAND CA 94601,1077 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-42,019 009304200,1997,1044,SANTA MARIA CT,,OAKLAND,94601,1044 SANTA MARIA CT OAKLAND 94601,1044 SANTA MARIA CT OAKLAND CA 94601,1044 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-49,019 009304900,1997,1065,SANTA MARIA CT,,OAKLAND,94601,1065 SANTA MARIA CT OAKLAND 94601,920 54TH AVE C OAKLAND CA 94601,1065 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-58,019 009305800,1997,1002,SANTA INES CT,,OAKLAND,94601,1002 SANTA INES CT OAKLAND 94601,1002 SANTA INES CT OAKLAND CA 94601,1002 SANTA INES CT,,OAKLAND,CA,94601
19-93-38,019 009303800,1997,1004,SANTA MARIA CT,,OAKLAND,94601,1004 SANTA MARIA CT OAKLAND 94601,1004 SANTA MARIA CT OAKLAND CA 94601,1004 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-55,019 009305500,1997,1005,SANTA MARIA CT,,OAKLAND,94601,1005 SANTA MARIA CT OAKLAND 94601,1005 SANTA MARIA CT OAKLAND CA 94601,1005 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-53,019 009305300,1997,1025,SANTA MARIA CT,,OAKLAND,94601,1025 SANTA MARIA CT OAKLAND 94601,1025 SANTA MARIA CT OAKLAND CA 94601,1025 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-19,019 009301900,1997,1016,SAN FRANCISCO CT,,OAKLAND,94601,1016 SAN FRANCISCO CT OAKLAND 94601,1016 SAN FRANCISCO CT OAKLAND CA 94601,1016 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-65,019 009306500,1997,1072,SANTA INES CT,,OAKLAND,94601,1072 SANTA INES CT OAKLAND 94601,1072 SANTA INES CT OAKLAND CA 94601,1072 SANTA INES CT,,OAKLAND,CA,94601
19-93-26,019 009302600,1997,1086,SAN FRANCISCO CT,,OAKLAND,94601,1086 SAN FRANCISCO CT OAKLAND 94601,1086 SAN FRANCISCO CT OAKLAND CA 94601,1086 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-24,019 009302400,1997,1066,SAN FRANCISCO CT,,OAKLAND,94601,1066 SAN FRANCISCO CT OAKLAND 94601,1066 SAN FRANCISCO CT OAKLAND CA 94601,1066 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-34,019 009303400,1997,1017,SAN FRANCISCO CT,,OAKLAND,94601,1017 SAN FRANCISCO CT OAKLAND 94601,1017 SAN FRANCISCO CT OAKLAND CA 94601,1017 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-20,019 009302000,1997,1026,SAN FRANCISCO CT,,OAKLAND,94601,1026 SAN FRANCISCO CT OAKLAND 94601,1026 SAN FRANCISCO CT OAKLAND CA 94601,1026 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-51,019 009305100,1997,1045,SANTA MARIA CT,,OAKLAND,94601,1045 SANTA MARIA CT OAKLAND 94601,1045 SANTA MARIA CT OAKLAND CA 94601,1045 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-33,019 009303300,1997,1027,SAN FRANCISCO CT,,OAKLAND,94601,1027 SAN FRANCISCO CT OAKLAND 94601,1027 SAN FRANCISCO CT OAKLAND CA 94601,1027 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-64,019 009306400,1997,1062,SANTA INES CT,,OAKLAND,94601,1062 SANTA INES CT OAKLAND 94601,1062 SANTA INES CT OAKLAND CA 94601,1062 SANTA INES CT,,OAKLAND,CA,94601
19-93-30,019 009303000,1997,1057,SAN FRANCISCO CT,,OAKLAND,94601,1057 SAN FRANCISCO CT OAKLAND 94601,1057 SAN FRANCISCO CT OAKLAND CA 94601,1057 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-36,019 009303600,1997,2836,E 10TH ST,,OAKLAND,94601,2836 E 10TH ST OAKLAND 94601,2836 E 10TH ST OAKLAND CA 94601,2836 E 10TH ST,,OAKLAND,CA,94601
19-93-35,019 009303500,1997,1007,SAN FRANCISCO CT,,OAKLAND,94601,1007 SAN FRANCISCO CT OAKLAND 94601,1007 SAN FRANCISCO CT OAKLAND CA 94601,1007 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-16-1,019 009301601,0,1125,29TH AVE,,OAKLAND,94601,1125 29TH AVE OAKLAND 94601,160 FRANKLIN ST 300 OAKLAND CA 94607,1125 29TH AVE,,OAKLAND,CA,94601
19-93-31,019 009303100,1997,1047,SAN FRANCISCO CT,,OAKLAND,94601,1047 SAN FRANCISCO CT OAKLAND 94601,1047 SAN FRANCISCO CT OAKLAND CA 94601,1047 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-61,019 009306100,1997,1032,SANTA INES CT,,OAKLAND,94601,1032 SANTA INES CT OAKLAND 94601,1032 SANTA INES CT OAKLAND CA 94601,1032 SANTA INES CT,,OAKLAND,CA,94601
19-93-50,019 009305000,1997,1055,SANTA MARIA CT,,OAKLAND,94601,1055 SANTA MARIA CT OAKLAND 94601,1055 SANTA MARIA CT OAKLAND CA 94601,1055 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-44,019 009304400,1997,1064,SANTA MARIA CT,,OAKLAND,94601,1064 SANTA MARIA CT OAKLAND 94601,1064 SANTA MARIA CT OAKLAND CA 94601,1064 SANTA MARIA CT,,OAKLAND,CA,94601
19-93-29,019 009302900,1997,1067,SAN FRANCISCO CT,,OAKLAND,94601,1067 SAN FRANCISCO CT OAKLAND 94601,1067 SAN FRANCISCO CT OAKLAND CA 94601,1067 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-32,019 009303200,1997,1037,SAN FRANCISCO CT,,OAKLAND,94601,1037 SAN FRANCISCO CT OAKLAND 94601,1037 SAN FRANCISCO CT OAKLAND CA 94601,1037 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-93-21,019 009302100,1997,1036,SAN FRANCISCO CT,,OAKLAND,94601,1036 SAN FRANCISCO CT OAKLAND 94601,1036 SAN FRANCISCO CT OAKLAND CA 94601,1036 SAN FRANCISCO CT,,OAKLAND,CA,94601
19-92-8,019 009200800,1916,2743,E 11TH ST,,OAKLAND,94601,2743 E 11TH ST OAKLAND 94601,2743 E 11TH ST OAKLAND CA 94601,2743 E 11TH ST,,OAKLAND,CA,94601
19-92-15,019 009201500,1900,2708,E 10TH ST,,OAKLAND,94601,2708 E 10TH ST OAKLAND 94601,2708 E 10TH ST OAKLAND CA 94601,2708 E 10TH ST,,OAKLAND,CA,94601
19-92-12-1,019 009201201,1912,2732,E 10TH ST,,OAKLAND,94601,2732 E 10TH ST OAKLAND 94601,2732 E 10TH ST OAKLAND CA 94601,2732 E 10TH ST,,OAKLAND,CA,94601
19-92-3,019 009200300,1897,2717,E 11TH ST,,OAKLAND,94601,2717 E 11TH ST OAKLAND 94601,2717 E 11TH ST OAKLAND CA 94601,2717 E 11TH ST,,OAKLAND,CA,94601
19-92-1,019 009200100,1909,2705,E 11TH ST,,OAKLAND,94601,2705 E 11TH ST OAKLAND 94601,2705 E 11TH ST OAKLAND CA 94601,2705 E 11TH ST,,OAKLAND,CA,94601
19-92-6,019 009200600,1914,2735,E 11TH ST,,OAKLAND,94601,2735 E 11TH ST OAKLAND 94601,1685 12TH ALY OAKLAND CA 94607,2735 E 11TH ST,,OAKLAND,CA,94601
19-92-7,019 009200700,1898,2739,E 11TH ST,,OAKLAND,94601,2739 E 11TH ST OAKLAND 94601,2739 E 11TH ST OAKLAND CA 94601,2739 E 11TH ST,,OAKLAND,CA,94601
19-92-11,019 009201100,1905,2736,E 10TH ST,,OAKLAND,94601,2736 E 10TH ST OAKLAND 94601,2736 E 10TH ST OAKLAND CA 94601,2736 E 10TH ST,,OAKLAND,CA,94601
19-92-5,019 009200500,1900,2731,E 11TH ST,,OAKLAND,94601,2731 E 11TH ST OAKLAND 94601,2731 E 11TH ST OAKLAND CA 94601,2731 E 11TH ST,,OAKLAND,CA,94601
19-92-16,019 009201600,1906,2702,E 10TH ST,,OAKLAND,94601,2702 E 10TH ST OAKLAND 94601,2702 E 10TH ST OAKLAND CA 94601,2702 E 10TH ST,,OAKLAND,CA,94601
19-92-12-2,019 009201202,1912,2728,E 10TH ST,,OAKLAND,94601,2728 E 10TH ST OAKLAND 94601,2720 E 10TH ST OAKLAND CA 94601,2728 E 10TH ST,,OAKLAND,CA,94601
19-92-2,019 009200200,1919,2709,E 11TH ST,,OAKLAND,94601,2709 E 11TH ST OAKLAND 94601,2709 E 11TH ST OAKLAND CA 94601,2709 E 11TH ST,,OAKLAND,CA,94601
19-92-4,019 009200400,1900,2721,E 11TH ST,,OAKLAND,94601,2721 E 11TH ST OAKLAND 94601,2721 E 11TH ST OAKLAND CA 94601,2721 E 11TH ST,,OAKLAND,CA,94601
19-92-14,019 009201400,1900,2714,E 10TH ST,,OAKLAND,94601,2714 E 10TH ST OAKLAND 94601,2714 EASTH 10TH ST OAKLAND CA 94601,2714 E 10TH ST,,OAKLAND,CA,94601
19-92-10,019 009201000,1920,2742,E 10TH ST,,OAKLAND,94601,2742 E 10TH ST OAKLAND 94601,2535 WILLIAMS ST SAN LEANDRO CA 94577,2742 E 10TH ST,,OAKLAND,CA,94601
19-92-13,019 009201300,1900,2720,E 10TH ST,,OAKLAND,94601,2720 E 10TH ST OAKLAND 94601,2720 E 10TH ST OAKLAND CA 94601,2720 E 10TH ST,,OAKLAND,CA,94601
19-92-9,019 009200900,1904,2748,E 10TH ST,,OAKLAND,94601,2748 E 10TH ST OAKLAND 94601,2748 E 10TH ST OAKLAND CA 94601,2748 E 10TH ST,,OAKLAND,CA,94601
19-91-8,019 009100800,1906,2648,E 10TH ST,,OAKLAND,94601,2648 E 10TH ST OAKLAND 94601,2622 E 10TH ST OAKLAND CA 94601,2648 E 10TH ST,,OAKLAND,CA,94601
19-91-9,019 009100900,1906,2642,E 10TH ST,,OAKLAND,94601,2642 E 10TH ST OAKLAND 94601,2642 E 10TH ST OAKLAND CA 94601,2642 E 10TH ST,,OAKLAND,CA,94601
19-91-12,019 009101200,1900,2622,E 10TH ST,,OAKLAND,94601,2622 E 10TH ST OAKLAND 94601,2622 E 10TH ST OAKLAND CA 94601,2622 E 10TH ST,,OAKLAND,CA,94601
19-91-4-1,019 009100401,0,2631,E 11TH ST,,OAKLAND,94601,2631 E 11TH ST OAKLAND 94601,PO BOX 7509 OAKLAND CA 94601,2631 E 11TH ST,,OAKLAND,CA,94601
19-91-3,019 009100300,0,2623,E 11TH ST,,OAKLAND,94601,2623 E 11TH ST OAKLAND 94601,2530 E 11TH ST OAKLAND CA 94601,2623 E 11TH ST,,OAKLAND,CA,94601
19-91-11,019 009101100,1896,2630,E 10TH ST,,OAKLAND,94601,2630 E 10TH ST OAKLAND 94601,2630 E 10TH ST OAKLAND CA 94601,2630 E 10TH ST,,OAKLAND,CA,94601
19-91-6,019 009100600,1913,2635,E 11TH ST,,OAKLAND,94601,2635 E 11TH ST OAKLAND 94601,2635 E 11TH ST OAKLAND CA 94601,2635 E 11TH ST,,OAKLAND,CA,94601
19-91-7-1,019 009100701,1908,2649,E 11TH ST,,OAKLAND,94601,2649 E 11TH ST OAKLAND 94601,2708 ALIDA ST OAKLAND CA 94602,2649 E 11TH ST,,OAKLAND,CA,94601
19-91-10,019 009101000,1900,2634,E 10TH ST,,OAKLAND,94601,2634 E 10TH ST OAKLAND 94601,2634 E 10TH ST OAKLAND CA 94601,2634 E 10TH ST,,OAKLAND,CA,94601
19-91-2,019 009100200,0,2615,E 11TH ST,,OAKLAND,94601,2615 E 11TH ST OAKLAND 94601,PO BOX 7509 OAKLAND CA 94601,2615 E 11TH ST,,OAKLAND,CA,94601
19-90-21,019 009002100,1898,1028,25TH AVE,,OAKLAND,94601,1028 25TH AVE OAKLAND 94601,901 DEL MAR AVE ALAMEDA CA 94501,1028 25TH AVE,,OAKLAND,CA,94601
19-90-2,019 009000200,1898,2513,E 11TH ST,,OAKLAND,94601,2513 E 11TH ST OAKLAND 94601,2513 E 11TH ST OAKLAND CA 94601,2513 E 11TH ST,,OAKLAND,CA,94601
19-90-12,019 009001200,1926,2534,E 10TH ST,,OAKLAND,94601,2534 E 10TH ST OAKLAND 94601,2534 E 10TH ST OAKLAND CA 94601,2534 E 10TH ST,,OAKLAND,CA,94601
19-90-18-1,019 009001801,1899,2502,E 10TH ST,,OAKLAND,94601,2502 E 10TH ST OAKLAND 94601,2502 E 10TH ST OAKLAND CA 94601,2502 E 10TH ST,,OAKLAND,CA,94601
19-90-20,019 009002000,1898,1024,25TH AVE,,OAKLAND,94601,1024 25TH AVE OAKLAND 94601,1024 25TH AVE OAKLAND CA 94601,1024 25TH AVE,,OAKLAND,CA,94601
19-90-18-2,019 009001802,1910,1010,25TH AVE,,OAKLAND,94601,1010 25TH AVE OAKLAND 94601,100 LONGMEADOW DR LOS GATOS CA 95032,1010 25TH AVE,,OAKLAND,CA,94601
19-90-1,019 009000100,1898,1034,25TH AVE,,OAKLAND,94601,1034 25TH AVE OAKLAND 94601,741 LINCOLN AVE B ALAMEDA CA 94501,1034 25TH AVE,,OAKLAND,CA,94601
19-90-19,019 009001900,1898,1020,25TH AVE,,OAKLAND,94601,1020 25TH AVE OAKLAND 94601,1020 25TH AVE OAKLAND CA 94601,1020 25TH AVE,,OAKLAND,CA,94601
19-90-5,019 009000500,1904,2531,E 11TH ST,,OAKLAND,94601,2531 E 11TH ST OAKLAND 94601,219 FOOTHILL BLVD OAKLAND CA 94606,2531 E 11TH ST,,OAKLAND,CA,94601
19-90-6,019 009000600,0,2537,E 11TH ST,,OAKLAND,94601,2537 E 11TH ST OAKLAND 94601,2537 E 11TH ST OAKLAND CA 94601,2537 E 11TH ST,,OAKLAND,CA,94601
19-90-7,019 009000700,0,2545,E 11TH ST,,OAKLAND,94601,2545 E 11TH ST OAKLAND 94601,PO BOX 7509 OAKLAND CA 94601,2545 E 11TH ST,,OAKLAND,CA,94601
19-90-14,019 009001400,1914,2524,E 10TH ST,,OAKLAND,94601,2524 E 10TH ST OAKLAND 94601,PO BOX 632 EL CERRITO CA 94530,2524 E 10TH ST,,OAKLAND,CA,94601
19-90-13,019 009001300,1906,2530,E 10TH ST,,OAKLAND,94601,2530 E 10TH ST OAKLAND 94601,2507 DWIGHT WAY BERKELEY CA 94704,2530 E 10TH ST,,OAKLAND,CA,94601
19-90-16,019 009001600,1900,2512,E 10TH ST,,OAKLAND,94601,2512 E 10TH ST OAKLAND 94601,2512 E 10TH ST OAKLAND CA 94601,2512 E 10TH ST,,OAKLAND,CA,94601
19-90-15,019 009001500,1895,2518,E 10TH ST,,OAKLAND,94601,2518 E 10TH ST OAKLAND 94601,3644 RUTLEDGE CMN FREMONT CA 94538,2518 E 10TH ST,,OAKLAND,CA,94601
19-90-3,019 009000300,1900,2517,E 11TH ST,,OAKLAND,94601,2517 E 11TH ST OAKLAND 94601,2517 E 11TH ST OAKLAND CA 94601,2517 E 11TH ST,,OAKLAND,CA,94601
19-90-10-1,019 009001001,0,2559,E 11TH ST,,OAKLAND,94601,2559 E 11TH ST OAKLAND 94601,PO BOX 7509 OAKLAND CA 94601,2559 E 11TH ST,,OAKLAND,CA,94601
19-90-4,019 009000400,1906,2525,E 11TH ST,,OAKLAND,94601,2525 E 11TH ST OAKLAND 94601,2525 E 11TH ST OAKLAND CA 94601,2525 E 11TH ST,,OAKLAND,CA,94601
19-90-17,019 009001700,1900,2506,E 10TH ST,,OAKLAND,94601,2506 E 10TH ST OAKLAND 94601,2506 E 10TH ST OAKLAND CA 94601,2506 E 10TH ST,,OAKLAND,CA,94601
19-90-8,019 009000800,1900,2551,E 11TH ST,,OAKLAND,94601,2551 E 11TH ST OAKLAND 94601,2551 E 11TH ST OAKLAND CA 94601,2551 E 11TH ST,,OAKLAND,CA,94601
19-88-3-1,019 008800301,0,2523,E 10TH ST,,OAKLAND,94601,2523 E 10TH ST OAKLAND 94601,PO BOX 3203 DANVILLE CA 94526,2523 E 10TH ST,,OAKLAND,CA,94601
19-88-3-2,019 008800302,1915,2515,E 10TH ST,,OAKLAND,94601,2515 E 10TH ST OAKLAND 94601,2515 E 10TH ST OAKLAND CA 94601,2515 E 10TH ST,,OAKLAND,CA,94601
19-88-7,019 008800700,1912,917,26TH AVE,,OAKLAND,94601,917 26TH AVE OAKLAND 94601,917 26TH AVE OAKLAND CA 94601,917 26TH AVE,,OAKLAND,CA,94601
19-88-8,019 008800800,1908,913,26TH AVE,,OAKLAND,94601,913 26TH AVE OAKLAND 94601,2801 E 10TH ST OAKLAND CA 94601,913 26TH AVE,,OAKLAND,CA,94601
19-88-5,019 008800500,1912,2529,E 10TH ST,,OAKLAND,94601,2529 E 10TH ST OAKLAND 94601,2529 E 10TH ST OAKLAND CA 94601,2529 E 10TH ST,,OAKLAND,CA,94601
19-88-6-1,019 008800601,0,2525,E 10TH ST,,OAKLAND,94601,2525 E 10TH ST OAKLAND 94601,3410 DEER RIDGE DR DANVILLE CA 94506,2525 E 10TH ST,,OAKLAND,CA,94601
19-87-5,019 008700500,2004,2635,E 10TH ST,,OAKLAND,94601,2635 E 10TH ST OAKLAND 94601,2635 E 10TH ST OAKLAND CA 94601,2635 E 10TH ST,,OAKLAND,CA,94601
19-87-13,019 008701300,1895,2628,E 9TH ST,,OAKLAND,94601,2628 E 9TH ST OAKLAND 94601,2628 E 9TH ST OAKLAND CA 94601,2628 E 9TH ST,,OAKLAND,CA,94601
19-87-6,019 008700600,1895,929,27TH AVE,,OAKLAND,94601,929 27TH AVE OAKLAND 94601,929 27TH AVE OAKLAND CA 94601,929 27TH AVE,,OAKLAND,CA,94601
19-87-3,019 008700300,1895,2621,E 10TH ST,,OAKLAND,94601,2621 E 10TH ST OAKLAND 94601,616 PACIFIC AVE ALAMEDA CA 94501,2621 E 10TH ST,,OAKLAND,CA,94601
19-87-16,019 008701600,1900,930,26TH AVE,,OAKLAND,94601,930 26TH AVE OAKLAND 94601,930 26TH AVE OAKLAND CA 94601,930 26TH AVE,,OAKLAND,CA,94601
19-87-15,019 008701500,1906,920,26TH AVE,,OAKLAND,94601,920 26TH AVE OAKLAND 94601,920 26TH AVE OAKLAND CA 94601,920 26TH AVE,,OAKLAND,CA,94601
19-87-1,019 008700100,1901,936,26TH AVE,,OAKLAND,94601,936 26TH AVE OAKLAND 94601,936 26TH AVE OAKLAND CA 94601,936 26TH AVE,,OAKLAND,CA,94601
19-87-12,019 008701200,1910,2636,E 9TH ST,,OAKLAND,94601,2636 E 9TH ST OAKLAND 94601,2636 E 9TH ST OAKLAND CA 94601,2636 E 9TH ST,,OAKLAND,CA,94601
19-87-2,019 008700200,1901,2615,E 10TH ST,,OAKLAND,94601,2615 E 10TH ST OAKLAND 94601,PO BOX 3637 FREMONT CA 94539,2615 E 10TH ST,,OAKLAND,CA,94601
19-87-11,019 008701100,1901,2642,E 9TH ST,,OAKLAND,94601,2642 E 9TH ST OAKLAND 94601,PO BOX 351 BERKELEY CA 94701,2642 E 9TH ST,,OAKLAND,CA,94601
19-87-4,019 008700400,1901,2627,E 10TH ST,,OAKLAND,94601,2627 E 10TH ST OAKLAND 94601,PO BOX 24483 OAKLAND CA 94623,2627 E 10TH ST,,OAKLAND,CA,94601
19-87-8,019 008700800,1895,921,27TH AVE,,OAKLAND,94601,921 27TH AVE OAKLAND 94601,PO BOX 24483 OAKLAND CA 94623,921 27TH AVE,,OAKLAND,CA,94601
19-87-7,019 008700700,1895,925,27TH AVE,,OAKLAND,94601,925 27TH AVE OAKLAND 94601,925 27TH AVE OAKLAND CA 94601,925 27TH AVE,,OAKLAND,CA,94601
