,acct_no,dba,owner,sic_code,sic_desc,full_addr,st_no,st_name,even,zipcode,city,apn_sort,dist_parc_to_sales
20,389,HERNANDEZ MEATS,"HERNANDEZ, RAFAEL",5421001.0,"Meat And Fish (seafood) Markets, Including Freezer Provisioners","3811 INTERNATIONAL BLVD OAKLAND, CA 94601-4009",3811,INTERNATIONAL BLVD,False,94601,OAKLAND,033 215700100,12.171233178214099
21,398,PUBLIC STORAGE INC,"Hughes, B Wayne (ceo)",4225001.0,General Warehousing And Storage,"680 HEGENBERGER RD OAKLAND, CA 94621-1979",680,HEGENBERGER RD,True,94621,OAKLAND,042 432800116,24.783406034733602
22,399,RAKHA AUTO REPAIR WORKSHOP,"Masih, Gulzar",,,"905 77TH AVE OAKLAND, CA 94621-2525",905,77TH AVE,False,94621,OAKLAND,041 415702800,3.02103056426494
23,402,HERB & CHERIE L WETZEL,"WETZEL, HERB L",6513001.0,Operators Of Apartment Buildings,"1936 94TH AVE OAKLAND, CA 94603-1706",1936,94TH AVE,True,94603,OAKLAND,046 545701400,0.0
24,412,ELIZABETHS FASHIONS,"Ramos, Maria I",5621001.0,Women's Clothing Stores,"3642 INTERNATIONAL BLVD OAKLAND, CA 94601-3524",3642,INTERNATIONAL BLVD,True,94601,OAKLAND,033 213205001,7.27000965609599
25,470,ALBERTI LOUIS C & ANNA C TRS,"ALBERTI, LOUIS C",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"1426 29TH AVE OAKLAND, CA 94601-2309",1426,29TH AVE,True,94601,OAKLAND,025 071601400,7.54183394814203
26,506,LONGORIA RAUL D,"LONGORIA, RAUL",6512001.0,Operators Of Nonresidential Buildings,"5021 INTERNATIONAL BLVD OAKLAND, CA 94601-5260",5021,INTERNATIONAL BLVD,False,94601,OAKLAND,034 227200201,22.2471379411373
27,525,XAN AUTO BODY & REPAIR SEVICES,"DANG, XAN",7532001.0,"Top, Body, And Upholstery Repair Shops And Paint Shops","1101 98TH AVE OAKLAND, CA 94603-2404",1101,98TH AVE,False,94603,OAKLAND,044 498001403,12.262838555241
28,561,CHENEY CATHERINE C TR,"Cheney, Catherine C",6512001.0,Operators Of Nonresidential Buildings,"240 HEGENBERGER RD OAKLAND, CA 94621-1436",240,HEGENBERGER RD,True,94621,OAKLAND,044 502000119,25.306592333227897
29,586,ANDES CONSTRUCTION INC,"MAYORGA, SR., DANILO",,,"5305 E 12TH ST OAKLAND, CA 94601-5622",5305,E 12TH ST,False,94601,OAKLAND,034 227801200,1.05301874344894
30,601,RAFAEL AGUILERA,"AGUILERA, RAFAEL",6513001.0,Operators Of Apartment Buildings,"1566 33RD AVE OAKLAND, CA 94601-3016",1566,33RD AVE,True,94601,OAKLAND,033 212203200,4.50957070297595
31,642,ALLIED FIRE PROTECTION,"Davies, R",,,"555 HIGH ST OAKLAND, CA 94601-3905",555,HIGH ST,False,94601,OAKLAND,033 225000106,13.214982335254
32,707,MOUNT ZION PRAYER TOWER MISSION INC,"Sexton, Harold",7299001.0,"Miscellaneous Personal Services, Not Elsewhere Classified","9615 INTERNATIONAL BLVD OAKLAND, CA 94603-2507",9615,INTERNATIONAL BLVD,False,94603,OAKLAND,046 542400100,19.879056376755397
33,750,BAY CITY ALTERNATORS,"Zambrano, Esperanza M",,,"8807 INTERNATIONAL BLVD OAKLAND, CA 94621-1101",8807,INTERNATIONAL BLVD,False,94621,OAKLAND,043 458001000,18.0072556127737
34,828,BEAUTY PLUS,"Evans, Icyphine",7231001.0,Beauty Shops,"5252 FOOTHILL BLVD OAKLAND, CA 94601-5438",5252,FOOTHILL BLVD,True,94601,OAKLAND,035 237900800,0.0
35,838,MCDANIEL JOYCE D,"Mcdaniel, Joyce",6513001.0,Operators Of Apartment Buildings,"1936 VICKSBURG AVE OAKLAND, CA 94601-5416",1936,VICKSBURG AVE,True,94601,OAKLAND,035 238001000,3.8292511133510296
36,880,SUMMERHILL ELECTRIC INC,"Summerhill, Louis A",1731001.0,Electrical Work,"5230 E 12TH ST OAKLAND, CA 94601-5621",5230,E 12TH ST,True,94601,OAKLAND,034 227402501,4.38442195305282
37,889,ROLLS-ROYCE ENGINE SERVICES-OAKLAND INC,"AMER, ROLLS-ROYCE N",,,"7200 EARHART RD OAKLAND, CA 94621-4511",7200,EARHART RD,True,94621,OAKLAND,042 440400400,0.0
38,900,KINGS POINT MACHINERY INC,"Westfall, Donald C",,,"9936 GOULD ST OAKLAND, CA 94603-2345",9936,GOULD ST,True,94603,OAKLAND,045 522700100,9.21134434550066
39,946,ANDERSON MARK S TR,"Anderson, Mark S",6513001.0,Operators Of Apartment Buildings,"2347 HUGHES AVE OAKLAND, CA 94601-3118",2347,HUGHES AVE,False,94601,OAKLAND,027 083904000,0.0
40,957,VINCENT ELECTRIC COMPANY,"VINCENT, RONALD J",,,"8383 BALDWIN ST OAKLAND, CA 94621-1925",8383,BALDWIN ST,False,94621,OAKLAND,042 431801602,0.0
41,978,WESTWAY MAINTENANCE - MANAGEMENT,"West, Frank J",7299001.0,"Miscellaneous Personal Services, Not Elsewhere Classified","2044 85TH AVE OAKLAND, CA 94621-1723",2044,85TH AVE,True,94621,OAKLAND,043 456901600,0.63061481200778
42,1074,ALLEN WALTER III TRUST,"ALLEN, WALTER (III) V",6513001.0,Operators Of Apartment Buildings,"1512 MITCHELL ST OAKLAND, CA 94601-1630",1512,MITCHELL ST,True,94601,OAKLAND,025 071200700,7.472404102845321
43,1078,YOUTH EMPLOYMENT PARTNERSHIP INC,"CLARK-CLOUGH, MICHELE",7361001.0,Employment Agencies,"2300 INTERNATIONAL BLVD OAKLAND, CA 94601-1019",2300,INTERNATIONAL BLVD,True,94601,OAKLAND,020 015301200,14.506049753599301
44,1081,PORTWOOD SHELL,"BANSAL, BHUSHAN (VP)",,,"820 PORTWOOD AVE OAKLAND, CA 94601-1452",820,PORTWOOD AVE,True,94601,OAKLAND,019 008403501,0.22799789614795
45,1104,LULA M. SMITH,"Smith, Lula M",6513001.0,Operators Of Apartment Buildings,"2617 INYO AVE OAKLAND, CA 94601-1323",2617,INYO AVE,False,94601,OAKLAND,026 077601500,0.0
46,1122,ALAMEDA COUNTY COMMUNITY FOOD BANK INC,"Sawi, Beth (pres)",7389001.0,"Business Services, Not Elsewhere Classified","7900 EDGEWATER DR OAKLAND, CA 94621-2004",7900,EDGEWATER DR,True,94621,OAKLAND,042 454800300,8.33990985335728
47,1125,L DANGERFIELD,"DANGERFIELD, LUCRETIA",6513001.0,Operators Of Apartment Buildings,"2768 25TH AVE OAKLAND, CA 94601-1337",2768,25TH AVE,True,94601,OAKLAND,026 081403500,9.33857852679721
48,1166,JOSEPH D SUGAYAN,"Sugayan, Joseph D",6513001.0,Operators Of Apartment Buildings,"2640 34TH AVE OAKLAND, CA 94601-2634",2640,34TH AVE,True,94601,OAKLAND,027 087401400,3.48870704421103
49,1171,HO STANLEY & TAC M,"Ho, Stanley",6513001.0,Operators Of Apartment Buildings,"2202 COOLIDGE AVE OAKLAND, CA 94601-3136",2202,COOLIDGE AVE,True,94601,OAKLAND,027 083801200,10.980116009319401
50,1174,DUONG CAN & HUYNH HIEN V,"DUONG, CAN",6513001.0,Operators Of Apartment Buildings,"2203 34TH AVE OAKLAND, CA 94601-3110",2203,34TH AVE,False,94601,OAKLAND,027 088103200,0.0
51,1180,ELLEN J OPPENHEIMER,"Oppenheimer, Ellen J",6513001.0,Operators Of Apartment Buildings,"2446 BARTLETT ST OAKLAND, CA 94601-3213",2446,BARTLETT ST,True,94601,OAKLAND,027 088701900,7.22167683710866
52,1184,ARROW SIGN COMPANY,"Sterne, C",1731001.0,Electrical Work,"1051 46TH AVE OAKLAND, CA 94601-4436",1051,46TH AVE,False,94601,OAKLAND,034 226201403,3.57594758438111
53,1189,DEBORAH P HALL,"HALL, DEBORAH P",6513001.0,Operators Of Apartment Buildings,"2521 BARTLETT ST OAKLAND, CA 94601-3214",2521,BARTLETT ST,False,94601,OAKLAND,027 089301100,1.8368428659084401
54,1213,CLARENCE JACKSON,"Jackson, Clarence",,,"2112 24TH AVE OAKLAND, CA 94601-1120",2112,24TH AVE,True,94601,OAKLAND,021 029301500,3.4654070530438594
55,1284,T & P MACHINE SHOP INC,"THERKELSEN, ADAM (PRES)",,,"760 98TH AVE OAKLAND, CA 94603-2200",760,98TH AVE,True,94603,OAKLAND,045 527602600,0.0
56,1401,MIN YAN KUANG,"Kuang, Min Yan",6513001.0,Operators Of Apartment Buildings,"2545 BARTLETT ST OAKLAND, CA 94601-3214",2545,BARTLETT ST,False,94601,OAKLAND,027 089300800,0.0
57,1430,AVIS RENT A CAR SYSTEM INC,"Sys, Avis Rent A Car",7514001.0,Passenger Car Rental,"7600 EARHART RD OAKLAND, CA 94621-4557",7600,EARHART RD,True,94621,OAKLAND,042 440401102,0.0
58,1436,CELIA ARRIZON OR ALBERTO JASSO,"Jasso, Alberto",6514001.0,Operators Of Dwellings Other Than Apartment Buildings,"2036 42ND AVE OAKLAND, CA 94601-4211",2036,42ND AVE,True,94601,OAKLAND,032 208000900,0.0
59,1457,RICHARDSON BAY LAND CO ETAL,"ALLEN, TRUSTEE, ANDREW",6512001.0,Operators Of Nonresidential Buildings,"210 HEGENBERGER LOOP OAKLAND, CA 94621-1313",210,HEGENBERGER LOOP,True,94621,OAKLAND,044 507800901,7.22747543016462
60,1468,AGRICULTURE BAG MFG U.S.A. INC,"Kuo, Chio-hsiung",2393001.0,Textile Bags,"960 98TH AVE OAKLAND, CA 94603-2347",960,98TH AVE,True,94603,OAKLAND,045 521400400,15.7846018611886
61,1512,BUIPHONG BAKERY,"TU, VINH N",2051001.0,"Bread And Other Bakery Products, Except Cookies And Crackers","2800 INTERNATIONAL BLVD OAKLAND, CA 94601-1516",2800,INTERNATIONAL BLVD,True,94601,OAKLAND,025 071301100,17.2201158309613
62,1536,CENTRO LEGAL DE LA RAZA,"Loya, Patricia",8111001.0,Legal Services,"3400 E 12TH ST OAKLAND, CA 94601-3402",3400,E 12TH ST,True,94601,OAKLAND,033 219502500,11.4756075216852
63,1546,A SPECIAL EVENT LIMOUSINES SERVICE,"George, Ernie B",4119001.0,"Local Passenger Transportation, Not Elsewhere Classified","1727 103RD AVE OAKLAND, CA 94603-3319",1727,103RD AVE,False,94603,OAKLAND,047 550601700,0.0
64,1604,INFERNO CO,"Prince, Gary-paul",,,"4401 SAN LEANDRO ST APT 50 OAKLAND, CA 94601-4400",4401,SAN LEANDRO ST,False,94601,OAKLAND,034 226500404,8.696995307098339
65,1643,FORTY SIX COUNTIES CARPENTERS CONFERENCE,"COUNTIES, FORTY SIX",7389001.0,"Business Services, Not Elsewhere Classified","265 HEGENBERGER RD STE 220 OAKLAND, CA 94621-1480",265,HEGENBERGER RD,False,94621,OAKLAND,042 442501802,6.7471788189608395
66,1654,LOUIS R & MARITZA RIVERA,"Rivera, Louis R",6513001.0,Operators Of Apartment Buildings,"2255 41ST AVE OAKLAND, CA 94601-4307",2255,41ST AVE,False,94601,OAKLAND,032 207601100,0.0
67,1657,BALAGOT JOSEPH O & REBECCA R TR,"BALAGOT, JOSEPH O",6513001.0,Operators Of Apartment Buildings,"2029 41ST AVE OAKLAND, CA 94601-4232",2029,41ST AVE,False,94601,OAKLAND,032 207701700,0.0
68,1666,GENERAL WAX & CANDLE CO,General Wax/candle,,,"848 66TH AVE OAKLAND, CA 94621-3716",848,66TH AVE,True,94621,OAKLAND,041 406000403,0.0
69,1671,TRUNG & CHONG C LAM,"Lam, Trung",6513001.0,Operators Of Apartment Buildings,"2149 42ND AVE OAKLAND, CA 94601-4309",2149,42ND AVE,False,94601,OAKLAND,032 208101300,0.0
70,1673,C J JOHNSON INC,"Johnson, Cj",8999001.0,"Services, Not Elsewhere Classified","7700 EDGEWATER DR STE 736 OAKLAND, CA 94621-3009",7700,EDGEWATER DR,True,94621,OAKLAND,042 443000114,12.9399946325565
71,1674,BAMBERG JOE TR,"BAMBERG, JOE T",6513001.0,Operators Of Apartment Buildings,"2250 41ST AVE OAKLAND, CA 94601-4308",2250,41ST AVE,True,94601,OAKLAND,032 207601200,10.6726037960477
72,1678,T G JOHNSON & ASSOCIATES,"JOHNSON, T G",8999001.0,"Services, Not Elsewhere Classified","7700 EDGEWATER DR STE 736 OAKLAND, CA 94621-3009",7700,EDGEWATER DR,True,94621,OAKLAND,042 443000114,12.9399946325565
73,1686,TAVARES JOSE L & MARIA A,"Tavares, Jose L",6513001.0,Operators Of Apartment Buildings,"1922 38TH AVE OAKLAND, CA 94601-3746",1922,38TH AVE,True,94601,OAKLAND,032 208702702,7.629385262996481
74,1695,NOLBERTO & MARIA E MARTINEZ,"Martinez, Nolberto",6513001.0,Operators Of Apartment Buildings,"2156 SANTA RITA ST OAKLAND, CA 94601-3712",2156,SANTA RITA ST,True,94601,OAKLAND,032 210001300,6.1008083047040405
75,1720,CHAU'S AUTO SPORTS,"Chau, Hoan",7532001.0,"Top, Body, And Upholstery Repair Shops And Paint Shops","1259 48TH AVE OAKLAND, CA 94601-5119",1259,48TH AVE,False,94601,OAKLAND,034 225501002,0.0
76,1725,CHAPALA MARKET,"Ahmed, Jamal Mohammed",5411001.0,Grocery Stores,"5415 INTERNATIONAL BLVD OAKLAND, CA 94601-5703",5415,INTERNATIONAL BLVD,False,94601,OAKLAND,034 227700101,14.369372450121501
77,1729,SMITH JAMES L & JOANN Y,"SMITH, JAMES",6513001.0,Operators Of Apartment Buildings,"1324 105TH AVE OAKLAND, CA 94603-3155",1324,105TH AVE,True,94603,OAKLAND,045 519801200,5.43876379307931
78,1731,ENRIQUE G ORTEGA,"ORTEGA, ENRIQUE G",6513001.0,Operators Of Apartment Buildings,"2349 RANSOM AVE OAKLAND, CA 94601-3827",2349,RANSOM AVE,False,94601,OAKLAND,032 210000300,0.0
79,1738,MIRIAM A ARMSTRONG,"Armstrong, Miriam A",6513001.0,Operators Of Apartment Buildings,"3901 AQUA VISTA ST OAKLAND, CA 94601-4315",3901,AGUA VISTA ST,False,94601,OAKLAND,032 210401000,0.0
80,1759,TAPIA BASILIO & YOLANDA V,"Tapia, Yolanda V",6513001.0,Operators Of Apartment Buildings,"2104 BAXTER ST OAKLAND, CA 94601-3720",2104,BAXTER ST,True,94601,OAKLAND,032 211401000,9.03219214156845
81,1768,EUSEVIA ALARCON,"ALARCON, EUSEVIA",6513001.0,Operators Of Apartment Buildings,"3511 HARPER ST OAKLAND, CA 94601-3608",3511,HARPER ST,False,94601,OAKLAND,032 211601900,0.0
82,1772,BAILEY GREGORY B,"Bailey, Gregory B",6513001.0,Operators Of Apartment Buildings,"1816 33RD AVE OAKLAND, CA 94601-3020",1816,33RD AVE,True,94601,OAKLAND,033 211803000,9.29286691698792
83,1776,STANLEY & CONNIE HO,"Ho, Stanley",6513001.0,Operators Of Apartment Buildings,"1461 34TH AVE OAKLAND, CA 94601-3023",1461,34TH AVE,False,94601,OAKLAND,033 212404600,11.830176693143402
84,1778,LONG TRAN & QUI C TRUONG,"TRAN, LONG",6513001.0,Operators Of Apartment Buildings,"1456 34TH AVE OAKLAND, CA 94601-3024",1456,34TH AVE,True,94601,OAKLAND,033 212404500,4.3225486424560895
85,1780,VICTOR H & HILARY K LAM,"Lam, Victor H",6513001.0,Operators Of Apartment Buildings,"1665 35TH AVE OAKLAND, CA 94601-3632",1665,35TH AVE,False,94601,OAKLAND,033 212902002,5.047200855149001
86,1784,PADILLA ROBERT M,"Padilla, Adolfo A",6513001.0,Operators Of Apartment Buildings,"1461 36TH AVE OAKLAND, CA 94601-3572",1461,36TH AVE,False,94601,OAKLAND,033 213002900,0.0
87,1797,WONG ALEX S & KATHERINE W,"Wong, Alex S",6513001.0,Operators Of Apartment Buildings,"1625 BRIDGE AVE OAKLAND, CA 94601-3623",1625,BRIDGE AVE,False,94601,OAKLAND,033 213403900,0.0
88,1799,WONG KENG H,"Wong, Keng H",6513001.0,Operators Of Apartment Buildings,"3612 E 16TH ST OAKLAND, CA 94601-3509",3612,E 16TH ST,True,94601,OAKLAND,033 213405000,1.98769619049579
89,1804,JAMES N SR & SUSANNA F NGIM,"NGIM, JAMES(SR) N",6513001.0,Operators Of Apartment Buildings,"1809 37TH AVE OAKLAND, CA 94601-3545",1809,37TH AVE,False,94601,OAKLAND,033 213603800,0.0
90,1826,ESCOTO MARILYN V,"Escoto, Marilyn V",6513001.0,Operators Of Apartment Buildings,"925 39TH AVE OAKLAND, CA 94601-4026",925,39TH AVE,False,94601,OAKLAND,033 216800900,1.74308047781515
91,1832,FAVRO ALFRED & PETER L & DAWLEY MARY A TRUST A,"FAVRO, PETER L",6513001.0,Operators Of Apartment Buildings,"905 36TH AVE OAKLAND, CA 94601-3427",905,36TH AVE,False,94601,OAKLAND,033 218901400,0.0
92,1839,AMEZCUA JESUS & TERESA TR,"AMEZCUA, JESUS",6513001.0,Operators Of Apartment Buildings,"9034 D ST OAKLAND, CA 94603-1340",9034,D ST,True,94603,OAKLAND,044 495501500,3.56999914833757
93,1844,BAY REALTY,"FRANK, SUSAN J",6531001.0,Real Estate Agents And Managers,"2857 CHAPMAN ST OAKLAND, CA 94601-2128",2857,CHAPMAN ST,False,94601,OAKLAND,025 067700100,0.0
94,1858,BAY ALARM COMPANY,"WESTPHAL, R (CEO) L",1731001.0,Electrical Work,"9836 KITTY LN OAKLAND, CA 94603-1070",9836,KITTY LN,True,94603,OAKLAND,044 502000365,3.6281262528596496
95,1859,BAY RUBBER CO,"MACKENZIE, TOM",5099001.0,"Durable Goods, Not Elsewhere Classified","404 PENDLETON WAY OAKLAND, CA 94621-2116",404,PENDLETON WAY,True,94621,OAKLAND,042 442502700,2.47284437661333
96,1865,WEI (ETAL) G TAN,"Tan, Wei (etal) G",6513001.0,Operators Of Apartment Buildings,"1532 53RD AVE OAKLAND, CA 94601-5707",1532,53RD AVE,True,94601,OAKLAND,035 236406400,0.0
97,1867,RAMON H & ROSE M PANIAGUA,"Paniagua, Ramon H",6513001.0,Operators Of Apartment Buildings,"1507 53RD AVE OAKLAND, CA 94601-5706",1507,53RD AVE,False,94601,OAKLAND,035 236406200,0.0
98,1888,LOS MEXICANOS MARKET/BAY FARM PRODUCE,"JIMENEZ, ABEL",,,"1244 HIGH ST OAKLAND, CA 94601-4454",1244,HIGH ST,True,94601,OAKLAND,034 225101301,2.7033561308278595
99,1898,BAY AREA INDUSTRIAL FILTRATION INC,"INDUSTRIAL, BAY AREA",3559001.0,"Special Industry Machinery, Not Elsewhere Classified","6355 COLISEUM WAY OAKLAND, CA 94621-3719",6355,COLISEUM WAY,False,94621,OAKLAND,041 390800600,1.02623208716362
100,1899,LOCADIO & EMILY C CASTANEDA,"Castaneda, Locadio",6513001.0,Operators Of Apartment Buildings,"5388 WENTWORTH AVE OAKLAND, CA 94601-5819",5388,WENTWORTH AVE,True,94601,OAKLAND,035 239500207,1.1806953104051001
101,1915,JENKINS CALVIN T & SMITHJENKINS PATRICIA,"Jenkins, Patricia S",6513001.0,Operators Of Apartment Buildings,"4516 THOMPSON ST OAKLAND, CA 94601-4743",4516,THOMPSON ST,True,94601,OAKLAND,036 241300100,5.34685739160945
102,1926,R & A TRUCKING CO,"Weakley, Eric",4212001.0,Local Trucking Without Storage,"1050 77TH AVE OAKLAND, CA 94621-2528",1050,77TH AVE,True,94621,OAKLAND,041 421000900,13.7666182780568
103,1928,MICHAEL D MCDANIEL,"Mcdaniel, Michael D",6513001.0,Operators Of Apartment Buildings,"2243 VICKSBURG AVE OAKLAND, CA 94601-4709",2243,VICKSBURG AVE,False,94601,OAKLAND,035 237101800,4.18386244014622
104,1954,ROWAID MARKET,"NAGI, YAHIA K",5411001.0,Grocery Stores,"2123 90TH AVE OAKLAND, CA 94603-1802",2123,90TH AVE,False,94603,OAKLAND,043 459800500,3.2160423904500495
105,1969,B-C-H MFG CO INC,"BARTON, BARBARA",,,"10012 DENNY ST OAKLAND, CA 94603-3004",10012,DENNY ST,True,94603,OAKLAND,045 527601201,0.52204930900996
106,1990,VETERANS REMEMBRANCE COMMITTEE,"Hospital, Veteran",8322001.0,Individual And Family Social Services,"4444 INTERNATIONAL BLVD OAKLAND, CA 94601-4511",4444,INTERNATIONAL BLVD,True,94601,OAKLAND,035 235601500,5.97803745265563
107,2043,J HERNANDO PRADO,"PRADO, J HERNANDO",8111001.0,Legal Services,"3445 INTERNATIONAL BLVD OAKLAND, CA 94601-3035",3445,INTERNATIONAL BLVD,False,94601,OAKLAND,033 219600302,12.009400153722698
108,2055,CHAPOT PAUL A & TONI D TR,"Chapot, Paul",6513001.0,Operators Of Apartment Buildings,"5132 YGNACIO AVE OAKLAND, CA 94601-5342",5132,YGNACIO AVE,True,94601,OAKLAND,035 238100500,0.0
109,2066,EVERETT GRAPHICS INC,"EVERETT, MUNSON W",2653001.0,Corrugated And Solid Fiber Boxes,"7300 EDGEWATER DR OAKLAND, CA 94621-3006",7300,EDGEWATER DR,True,94621,OAKLAND,041 390200313,4.18958605726478
110,2072,RODRIGUEZ ALBERTO & TORRES BERTHA,"RODRIGUEZ, ALBERT",6513001.0,Operators Of Apartment Buildings,"1370 54TH AVE OAKLAND, CA 94601-5733",1370,54TH AVE,True,94601,OAKLAND,034 227700500,4.557309692496871
111,2085,FAIRFAX LIGHTHOUSE COMMUNITY CHURCH,"Center, Fairfax Ligthouse",,,"5345 FOOTHILL BLVD OAKLAND, CA 94601-5513",5345,FOOTHILL BLVD,False,94601,OAKLAND,035 237800600,14.3123635191468
112,2108,WONG WILLIAM H & PUI T & FRANKLIN C & H F & SANGUN,"WONG, HENRY",6512001.0,Operators Of Nonresidential Buildings,"3237 FOOTHILL BLVD OAKLAND, CA 94601-3112",3237,FOOTHILL BLVD,False,94601,OAKLAND,027 083702401,4.52308310000618
113,2118,TRAVELING MECHANIC (JEROME BROWN),"Brown, Jerome",,,"10737 PEARMAIN ST OAKLAND, CA 94603-3717",10737,PEARMAIN ST,False,94603,OAKLAND,045 525302400,6.33603658141302
114,2125,E CHAMBERS BOBCAT SERVICE,"Chambers, Emma L",7389001.0,"Business Services, Not Elsewhere Classified","9312 OSCAR AVE OAKLAND, CA 94603-1155",9312,OSCAR AVE,True,94603,OAKLAND,044 501500300,0.0
115,2331,LAO FAMILY COMMUNITY DEVELOPMENT INC,"Lee, John (pres) K",8399001.0,"Social Services, Not Elsewhere Classified","2325 E 12TH ST OAKLAND, CA 94601-1014",2325,E 12TH ST,False,94601,OAKLAND,019 010200201,18.724596859802197
116,2333,MATTHEW H LU,"LU, MATTHEW H",6513001.0,Operators Of Apartment Buildings,"2325 E 19TH ST OAKLAND, CA 94601-1106",2325,E 19TH ST,False,94601,OAKLAND,020 020501800,2.98586980746892
117,2343,LIRA AMANDA TRUST,"LIRA, AMANDA",6513001.0,Operators Of Apartment Buildings,"8814 B ST OAKLAND, CA 94621-1130",8814,B ST,True,94621,OAKLAND,042 427201700,0.8850143057344558
118,2375,YOUNG VOICE MISSION,"Mission, Young Voice",,,"7928 INTERNATIONAL BLVD OAKLAND, CA 94621-2616",7928,INTERNATIONAL BLVD,True,94621,OAKLAND,040 336201401,3.53917642661157
